subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
e3b,1,l,false,4018,1,1,0,0,
e3b,2,l,true,1864,0,0,1,1,
e3b,3,l,true,1741,0,1,1,1,
e3b,4,l,false,3045,1,0,0,1,
e3b,5,l,true,3288,1,1,1,1,
e3b,6,l,false,3499,1,0,0,0,
e3b,7,l,false,2337,1,1,1,0,
e3b,8,l,true,1190,0,1,1,1,
e3b,9,l,true,1043,0,1,1,1,
e3b,10,l,true,1276,0,1,1,1,
e3b,11,l,false,3053,1,0,1,0,
e3b,12,l,true,821,1,0,1,1,
e3b,13,l,true,2424,1,1,1,1,
e3b,14,l,true,1475,0,0,1,1,
e3b,15,l,true,3065,1,0,1,1,
e3b,16,l,true,1210,1,1,0,1,
e3b,17,l,false,5428,0,1,1,0,
e3b,18,l,false,5578,1,0,0,1,
e3b,19,l,true,1677,1,1,1,1,
e3b,20,l,false,6110,0,0,0,1,
e3b,21,l,false,2183,0,0,1,0,
e3b,22,l,false,2529,1,0,0,0,
e3b,23,l,true,1935,1,1,1,1,
e3b,24,l,true,4135,1,1,1,0,
e3b,25,l,true,5171,1,1,0,1,
e3b,26,l,false,3240,1,0,0,1,
e3b,27,l,true,2103,1,1,1,1,
e3b,28,l,true,3539,1,0,1,0,
e3b,29,l,true,1027,1,1,1,1,
e3b,30,l,true,1070,0,0,1,1,
e3b,31,l,false,1774,1,1,0,0,
e3b,32,l,true,2741,0,0,0,1,
e3b,33,l,false,3109,1,1,1,0,
e3b,34,l,true,8514,0,1,1,1,
e3b,35,l,false,1028,0,0,0,0,
e3b,36,l,true,988,0,1,1,1,
e3b,37,l,false,2166,0,0,1,0,
e3b,38,l,true,1958,1,0,0,1,
e3b,39,l,true,2482,0,0,1,1,
e3b,40,l,true,965,1,1,1,1,
e3b,41,l,false,2484,1,0,0,1,
e3b,42,l,true,1398,0,0,1,1,
e3b,43,l,true,2146,0,1,1,1,
e3b,44,l,true,1272,0,0,1,1,
e3b,45,l,true,3917,1,1,1,0,
e3b,46,l,true,2204,1,0,1,1,
e3b,47,l,true,1381,1,1,1,1,
e3b,48,l,false,1329,1,1,0,0,
e3b,49,l,true,4519,1,0,1,1,
e3b,50,l,true,1630,1,0,1,0,
e3b,51,l,true,1675,1,1,1,1,
e3b,52,l,true,3886,0,1,0,1,
e3b,53,l,false,2225,1,0,0,0,
e3b,54,l,true,2555,0,1,0,1,
e3b,55,l,true,3337,0,0,1,0,
e3b,56,l,true,934,0,0,1,1,
e3b,57,l,true,2523,1,1,1,0,
e3b,58,l,false,2653,0,1,1,0,
e3b,59,l,false,1986,1,1,1,0,
e3b,60,l,true,1973,1,1,0,1,
e3b,61,l,true,3918,1,0,1,1,
e3b,62,l,true,1949,0,0,1,0,
e3b,63,l,true,1925,1,1,1,1,
e3b,64,l,false,2150,0,0,0,0,
e3b,65,l,true,3888,0,1,0,1,
e3b,66,l,true,6620,1,0,1,0,
e3b,67,l,true,995,1,1,1,1,
e3b,68,l,true,1225,0,1,0,1,
e3b,69,l,true,1743,1,0,1,1,
e3b,70,l,true,1733,1,1,1,1,
e3b,71,l,true,2272,1,1,1,1,
e3b,72,l,true,2100,1,0,1,1,
e3b,73,l,true,4383,0,1,1,1,
e3b,74,l,false,2660,0,0,0,1,
e3b,75,l,true,5475,0,0,1,0,
e3b,76,l,false,4797,1,0,0,0,
e3b,77,l,true,2820,0,1,1,0,
e3b,78,l,true,1385,0,1,1,1,
e3b,79,l,true,1126,0,1,1,1,
e3b,80,l,true,1479,1,1,1,1,
e3b,81,l,true,2121,0,1,0,1,
e3b,82,l,false,4748,1,0,0,1,
e3b,83,l,false,3571,1,0,1,0,
e3b,84,l,false,1542,0,0,0,1,
e3b,85,l,true,1485,0,1,1,1,
e3b,86,l,true,640,0,0,1,0,
e3b,87,l,true,3165,0,0,1,1,
e3b,88,l,true,1303,1,0,0,1,
e3b,89,l,true,1128,0,1,1,1,
e3b,90,l,true,1185,0,1,1,1,
e3b,91,l,true,872,0,0,1,1,
e3b,92,l,true,897,1,0,1,1,
e3b,93,l,true,699,0,0,1,0,
e3b,94,l,true,937,1,0,1,1,
e3b,95,l,true,765,1,1,1,1,
e3b,96,l,true,2081,1,0,1,0,
e3b,97,l,true,4760,1,0,1,1,
e3b,98,l,true,2483,0,1,1,1,
e3b,99,l,true,1797,1,0,1,0,
e3b,100,l,false,2803,0,1,1,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
e3b,101,l,true,5643,0,0,1,0,
e3b,102,l,false,1614,1,0,1,0,
e3b,103,l,true,10461,0,0,1,0,
e3b,104,l,true,2178,1,1,0,1,
e3b,105,l,false,439,1,0,0,1,
e3b,106,l,false,159,0,0,0,1,
e3b,107,l,false,12099,0,0,1,1,
e3b,108,l,true,3536,0,0,0,0,
e3b,109,l,false,13625,0,1,1,1,
e3b,110,l,false,13919,0,0,1,1,
e3b,111,l,false,7208,0,0,1,1,
e3b,112,l,false,4383,0,0,0,1,
e3b,113,l,true,28887,1,0,1,1,
e3b,114,l,true,1638,1,1,0,1,
e3b,115,l,true,31375,1,1,0,1,
e3b,116,l,true,4158,1,0,0,1,
e3b,117,l,false,6402,0,1,1,1,
e3b,118,l,true,687,1,0,0,0,
e3b,119,l,false,7155,1,1,1,1,
e3b,120,l,true,10330,1,0,0,1,
e3b,121,l,false,1137,0,1,1,1,
e3b,122,l,true,571,1,0,1,0,
e3b,123,l,false,2174,1,1,1,1,
e3b,124,l,true,2847,0,1,1,0,
e3b,125,l,true,411,0,0,1,1,
e3b,126,l,true,1028,1,0,0,1,
e3b,127,l,true,1686,1,0,1,0,
e3b,128,l,true,1546,0,1,1,0,
e3b,129,l,true,5024,0,1,1,1,
e3b,130,l,false,6417,0,1,1,0,
e3b,131,l,false,739,1,1,1,1,
e3b,132,l,false,154,0,0,0,0,
e3b,133,l,true,482,0,1,0,1,
e3b,134,l,false,623,0,1,1,0,
e3b,135,l,false,2843,1,0,1,1,
e3b,136,l,false,9200,1,1,1,1,
e3b,137,l,false,493,1,1,1,1,
e3b,138,l,true,214,0,1,1,1,
e3b,139,l,true,4890,0,1,0,0,
e3b,140,l,false,5,0,1,1,1,
e3b,141,l,true,204,0,1,1,1,
e3b,142,l,true,207,1,1,0,1,
e3b,143,l,false,81,1,0,1,1,
e3b,144,l,false,31,1,0,0,0,
e3b,145,l,false,246,1,0,1,1,
e3b,146,l,true,289,1,1,1,1,
e3b,147,l,true,490,1,1,0,1,
e3b,148,l,false,969,1,1,1,0,
e3b,149,l,true,451,0,1,1,1,
e3b,150,l,false,2261,0,1,0,1,
e3b,151,l,false,351,1,0,1,0,
e3b,152,l,false,475,1,1,1,1,
e3b,153,l,true,483,1,1,0,0,
e3b,154,l,true,2689,0,1,1,1,
e3b,155,l,true,318,0,1,0,1,
e3b,156,l,false,1000,1,1,0,1,
e3b,157,l,false,1879,1,0,1,0,
e3b,158,l,false,1477,0,0,0,1,
e3b,159,l,true,119,1,1,0,1,
e3b,160,l,false,1859,1,0,1,0,
e3b,161,l,true,65,1,1,1,1,
e3b,162,l,true,7,0,1,1,0,
e3b,163,l,true,4104,0,1,1,1,
e3b,164,l,true,120,0,1,1,0,
e3b,165,l,false,314,0,1,0,1,
e3b,166,l,true,763,0,1,0,1,
e3b,167,l,true,435,1,1,1,1,
e3b,168,l,true,81,0,1,1,0,
e3b,169,l,true,2708,1,0,1,0,
e3b,170,l,false,2485,1,1,0,0,
e3b,171,l,false,1072,1,1,0,0,
e3b,172,l,false,167,0,1,1,1,
e3b,173,l,false,23143,1,0,1,1,
e3b,174,l,false,9435,1,0,1,0,
e3b,175,l,false,2380,0,0,0,1,
e3b,176,l,true,3212,0,0,1,1,
e3b,177,l,false,2348,1,0,1,0,
e3b,178,l,false,2058,0,0,1,1,
e3b,179,l,false,10282,0,0,1,0,
e3b,180,l,false,5346,0,1,0,1,
e3b,181,l,true,10165,0,0,1,1,
e3b,182,l,true,4641,0,1,0,1,
e3b,183,l,false,1457,1,1,0,1,
e3b,184,l,true,4,0,1,1,1,
e3b,185,l,true,435,0,1,1,1,
e3b,186,l,true,680,1,1,1,1,
e3b,187,l,false,5141,0,1,1,1,
e3b,188,l,true,991,1,0,0,0,
e3b,189,l,false,870,0,1,0,1,
e3b,190,l,true,1530,1,0,0,1,
e3b,191,l,true,2006,0,1,1,1,
e3b,192,l,false,5325,1,0,0,0,
e3b,193,l,true,320,0,1,1,1,
e3b,194,l,true,1495,1,1,1,1,
e3b,195,l,false,870,0,1,1,1,
e3b,196,l,false,524,1,1,1,1,
e3b,197,l,true,4964,0,1,0,1,
e3b,198,l,false,1719,0,1,1,1,
e3b,199,l,false,2311,0,0,1,0,
e3b,200,l,true,2384,1,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
e3b,201,l,false,2536,0,1,0,1,
e3b,202,l,true,4056,0,1,0,1,
e3b,203,l,false,251,1,1,1,1,
e3b,204,l,true,296,0,0,0,1,
e3b,205,l,false,327,0,0,1,0,
e3b,206,l,true,694,0,1,1,1,
e3b,207,l,false,225,1,1,0,1,
e3b,208,l,false,221,0,1,0,1,
e3b,209,l,true,32,0,1,1,1,
e3b,210,l,true,4959,1,0,0,0,
e3b,211,l,true,1795,0,0,1,1,
e3b,212,l,false,1082,1,0,1,1,
e3b,213,l,false,723,0,1,1,0,
e3b,214,l,true,2010,1,0,1,1,
e3b,215,l,false,2346,0,1,1,0,
e3b,216,l,false,1829,0,0,1,0,
e3b,217,l,true,798,1,0,1,1,
e3b,218,l,true,1568,1,1,1,1,
e3b,219,l,true,291,1,1,0,1,
e3b,220,l,false,10138,1,1,1,1,
e3b,221,l,false,1786,1,0,1,0,
e3b,222,l,false,1450,1,0,0,1,
e3b,223,l,true,863,1,1,1,0,
e3b,224,l,false,380,1,0,1,1,
e3b,225,l,true,550,1,1,1,0,
e3b,226,l,false,1502,0,1,1,1,
e3b,227,l,true,57,1,0,0,0,
e3b,228,l,true,1599,1,1,1,0,
e3b,229,l,true,848,1,0,1,1,
e3b,230,l,false,2193,1,0,1,1,
e3b,231,l,false,410,0,1,1,1,
e3b,232,l,true,169,1,1,1,1,
e3b,233,l,false,229,1,0,1,1,
e3b,234,l,false,8,0,0,1,0,
e3b,235,l,true,483,1,0,0,0,
e3b,236,l,true,99,0,1,0,0,
e3b,237,l,true,762,0,1,0,1,
e3b,238,l,false,3599,1,0,1,0,
e3b,239,l,true,301,0,0,1,0,
e3b,240,l,true,2642,0,1,1,1,
e3b,241,l,false,456,1,1,1,0,
e3b,242,l,false,522,0,1,1,1,
e3b,243,l,false,471,1,1,1,0,
e3b,244,l,true,439,0,1,1,1,
e3b,245,l,false,558,1,0,1,0,
e3b,246,l,true,25899,0,1,1,1,
e3b,247,l,true,684,1,0,0,0,
e3b,248,l,false,1902,1,1,1,1,
