subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
bsp,1,R,false,192,2,0,1,1,1,
bsp,2,R,false,2730,2,1,1,0,0,
bsp,3,R,true,3615,2,0,0,1,0,
bsp,4,R,false,4330,2,1,0,0,0,
bsp,5,R,false,2572,1,0,0,0,0,
bsp,6,R,true,2508,2,0,0,1,0,
bsp,7,R,false,1600,2,0,0,1,1,
bsp,8,R,true,3520,2,0,1,1,0,
bsp,9,R,true,3632,1,1,0,0,0,
bsp,10,R,false,2318,2,1,0,1,1,
bsp,11,R,true,4383,1,1,0,1,1,
bsp,12,R,true,2526,1,1,1,1,0,
bsp,13,R,false,1844,1,0,0,0,1,
bsp,14,R,true,1771,1,1,0,1,0,
bsp,15,R,true,2064,2,1,1,1,1,
bsp,16,R,true,1534,2,0,1,1,1,
bsp,17,R,true,2034,1,1,0,1,0,
bsp,18,R,false,3660,2,0,0,0,1,
bsp,19,R,false,1598,1,0,0,0,1,
bsp,20,R,true,1552,2,0,0,1,1,
bsp,21,R,true,1743,2,0,1,1,1,
bsp,22,R,false,1661,1,0,0,1,1,
bsp,23,R,true,2660,2,0,1,1,1,
bsp,24,R,false,2508,1,1,1,0,1,
bsp,25,R,false,1476,1,1,0,1,0,
bsp,26,R,true,2160,1,1,0,1,1,
bsp,27,R,false,3234,1,1,0,0,0,
bsp,28,R,true,2570,1,1,0,1,0,
bsp,29,R,false,1599,1,0,0,0,1,
bsp,30,R,false,1759,1,1,0,1,0,
bsp,31,R,true,1616,2,0,1,1,1,
bsp,32,R,true,1262,2,0,1,1,1,
bsp,33,R,true,2400,1,0,1,0,1,
bsp,34,R,false,2558,1,0,0,0,1,
bsp,35,R,true,1360,2,1,1,1,1,
bsp,36,R,true,2030,1,0,1,1,1,
bsp,37,R,false,3565,1,1,1,0,1,
bsp,38,R,true,1215,2,1,0,1,0,
bsp,39,R,false,1134,1,0,1,1,1,
bsp,40,R,false,1457,1,1,1,0,1,
bsp,41,R,true,955,2,1,1,1,1,
bsp,42,R,false,1038,1,0,1,1,0,
bsp,43,R,true,1124,2,1,1,0,1,
bsp,44,R,false,1200,1,1,1,1,1,
bsp,45,R,true,1517,2,1,0,1,0,
bsp,46,R,true,1584,2,1,0,1,1,
bsp,47,R,true,1660,1,1,0,1,1,
bsp,48,R,true,1793,1,1,0,1,0,
bsp,49,R,false,2509,1,0,0,1,0,
bsp,50,R,false,1360,2,0,0,1,0,
bsp,51,R,true,1408,1,1,0,1,1,
bsp,52,R,false,1584,2,1,0,1,1,
bsp,53,R,false,2351,1,0,1,0,1,
bsp,54,R,true,1504,2,0,1,1,1,
bsp,55,R,false,1872,2,1,0,0,1,
bsp,56,R,true,1420,2,1,1,1,1,
bsp,57,R,true,1696,1,0,1,1,1,
bsp,58,R,false,1857,2,1,0,0,1,
bsp,59,R,false,1374,2,1,0,0,0,
bsp,60,R,true,1679,2,1,0,1,1,
bsp,61,R,true,1825,2,0,0,1,0,
bsp,62,R,true,927,1,0,0,1,1,
bsp,63,R,false,7008,1,0,1,0,1,
bsp,64,R,true,863,1,0,0,1,1,
bsp,65,R,true,1389,1,0,1,1,1,
bsp,66,R,false,1280,1,0,0,1,0,
bsp,67,R,false,1310,1,0,1,0,0,
bsp,68,R,true,1392,2,0,1,1,1,
bsp,69,R,true,2853,1,1,0,1,0,
bsp,70,R,true,1867,2,0,0,1,1,
bsp,71,R,false,1808,1,0,1,1,0,
bsp,72,R,false,1582,1,0,1,0,0,
bsp,73,R,false,1136,2,0,0,1,1,
bsp,74,R,true,1901,1,1,0,1,0,
bsp,75,R,true,1601,2,0,0,1,1,
bsp,76,R,true,1230,2,1,1,1,1,
bsp,77,R,true,1518,2,0,1,0,1,
bsp,78,R,true,1870,2,0,1,1,1,
bsp,79,R,true,1232,1,1,1,1,1,
bsp,80,R,false,3952,1,0,0,0,1,
bsp,81,R,true,1552,2,1,1,1,1,
bsp,82,R,true,1840,1,1,0,1,1,
bsp,83,R,true,5312,2,0,0,0,1,
bsp,84,R,true,2335,1,0,1,0,1,
bsp,85,R,true,1599,2,1,1,1,1,
bsp,86,R,true,3756,2,1,1,0,1,
bsp,87,R,true,2703,1,0,1,1,1,
bsp,88,R,true,3715,1,0,0,1,1,
bsp,89,R,false,2540,1,1,0,0,1,
bsp,90,R,false,1775,1,0,0,0,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
bsp,91,R,false,3187,1,0,0,0,1,
bsp,92,R,true,971,2,1,1,1,1,
bsp,93,R,true,1359,2,0,1,0,1,
bsp,94,R,true,1776,2,1,1,0,1,
bsp,95,R,true,1375,1,1,1,1,1,
bsp,96,R,true,1552,1,0,0,1,1,
bsp,97,R,true,1859,2,1,0,1,1,
bsp,98,R,true,2668,2,0,0,1,1,
bsp,99,R,true,2350,1,1,0,1,0,
bsp,100,R,false,1869,1,0,0,0,1,
bsp,101,R,true,1488,2,1,0,1,1,
bsp,102,R,true,1632,1,0,1,1,1,
bsp,103,R,true,2319,1,1,0,1,1,
bsp,104,R,true,1746,2,1,1,1,1,
bsp,105,R,false,1449,1,1,1,1,1,
bsp,106,R,true,1902,2,0,1,1,1,
bsp,107,R,false,2287,1,0,0,1,0,
bsp,108,R,true,1152,2,0,0,1,1,
bsp,109,R,true,2130,1,1,0,1,1,
bsp,110,R,true,1771,2,1,0,1,0,
bsp,111,R,true,1439,2,0,1,1,1,
bsp,112,R,true,1474,2,0,1,1,1,
bsp,113,R,true,1949,2,0,0,0,1,
bsp,114,R,true,1325,2,0,0,1,1,
bsp,115,R,true,1182,2,1,0,1,1,
bsp,116,R,false,1886,1,0,0,1,1,
bsp,117,R,true,1680,2,1,0,1,0,
bsp,118,R,true,1763,2,0,1,1,1,
bsp,119,R,false,1451,1,0,1,1,0,
bsp,120,R,true,1007,1,1,1,1,0,
bsp,121,R,false,1760,2,1,1,0,1,
bsp,122,R,false,1374,1,1,0,0,1,
bsp,123,R,true,799,1,0,0,1,1,
bsp,124,R,true,2093,1,1,0,1,0,
bsp,125,R,true,1518,1,1,0,1,0,
bsp,126,R,false,1744,2,1,0,0,1,
bsp,127,R,false,1507,2,1,0,0,0,
bsp,128,R,false,938,1,1,0,1,0,
bsp,129,R,true,1118,1,1,1,1,1,
bsp,130,R,false,1776,1,1,1,0,1,
bsp,131,R,true,1166,2,0,0,1,1,
bsp,132,R,true,1966,1,1,1,1,1,
bsp,133,R,false,910,1,0,0,0,0,
bsp,134,R,false,2401,1,0,0,1,0,
bsp,135,R,true,1742,1,1,0,1,0,
bsp,136,R,true,1023,2,0,0,1,1,
bsp,137,R,true,1343,2,0,1,1,1,
bsp,138,R,true,1918,2,0,1,1,1,
bsp,139,R,false,1391,1,1,1,0,0,
bsp,140,R,false,848,1,1,1,1,1,
bsp,141,R,true,2400,1,0,1,0,1,
bsp,142,R,true,1280,2,0,0,0,1,
bsp,143,R,false,1184,1,0,1,1,1,
bsp,144,R,false,1788,2,0,1,1,0,
bsp,145,R,true,1440,1,0,0,1,1,
bsp,146,R,true,1169,2,0,1,1,1,
bsp,147,R,true,1728,2,1,1,1,0,
bsp,148,R,true,1632,2,0,1,1,1,
bsp,149,R,false,1439,1,0,1,0,0,
bsp,150,R,true,1297,1,1,1,1,1,
bsp,151,R,true,1758,2,0,1,1,0,
bsp,152,R,true,2479,1,1,1,0,1,
bsp,153,R,true,2128,2,1,0,1,0,
bsp,154,R,false,1626,1,1,0,0,0,
bsp,155,R,false,1647,1,0,0,0,1,
bsp,156,R,false,1457,1,1,0,0,0,
bsp,157,R,false,5364,1,0,0,1,0,
bsp,158,R,false,1150,1,0,0,1,0,
bsp,159,R,false,986,2,1,0,0,0,
bsp,160,R,true,1071,2,1,0,1,1,
bsp,161,R,false,1536,2,1,1,0,1,
bsp,162,R,true,1664,2,0,0,0,1,
bsp,163,R,false,1904,2,0,1,1,0,
bsp,164,R,true,2879,2,0,1,1,0,
bsp,165,R,true,2286,2,1,1,1,1,
bsp,166,R,true,1700,1,1,0,1,1,
bsp,167,R,true,1900,2,1,0,1,1,
bsp,168,R,true,3837,1,0,0,1,1,
bsp,169,R,true,2033,1,1,0,1,1,
bsp,170,R,true,1550,1,0,0,1,1,
bsp,171,R,true,1772,1,0,1,1,1,
bsp,172,R,true,1952,1,1,0,1,0,
bsp,173,R,true,1665,1,1,1,1,1,
bsp,174,R,true,2112,2,0,0,1,1,
bsp,175,R,false,1119,2,1,1,0,0,
bsp,176,R,false,1581,1,1,0,0,0,
bsp,177,R,false,2045,1,0,0,1,1,
bsp,178,R,true,2480,2,0,0,1,1,
bsp,179,R,true,916,1,1,1,1,1,
bsp,180,R,false,1916,1,1,1,0,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
bsp,181,R,true,5076,1,1,1,1,1,
bsp,182,R,true,1699,2,0,1,1,1,
bsp,183,R,true,2379,1,0,1,0,1,
bsp,184,R,false,1021,1,0,1,0,0,
bsp,185,R,true,639,2,1,0,1,1,
bsp,186,R,true,1825,1,1,0,1,1,
bsp,187,R,true,3104,2,0,1,1,1,
bsp,188,R,true,1820,1,1,1,1,1,
bsp,189,R,true,1715,2,1,1,0,1,
bsp,190,R,true,3068,2,0,0,1,0,
bsp,191,R,true,845,2,1,1,1,1,
bsp,192,R,true,2112,1,1,0,0,1,
bsp,193,R,true,1664,2,1,0,1,0,
bsp,194,R,false,899,1,0,0,0,0,
bsp,195,R,true,987,2,0,0,1,1,
bsp,196,R,true,931,2,0,1,0,1,
bsp,197,R,true,1533,1,1,0,1,0,
bsp,198,R,true,1421,1,1,0,1,0,
bsp,199,R,true,912,2,0,1,1,1,
bsp,200,R,true,833,1,1,1,1,1,
bsp,201,R,true,1230,1,0,0,1,1,
bsp,202,R,true,1058,1,0,0,1,1,
bsp,203,R,true,1742,2,1,1,1,1,
bsp,204,R,true,2352,1,0,0,0,1,
bsp,205,R,false,1391,1,0,1,1,1,
bsp,206,R,true,1599,2,0,0,1,1,
bsp,207,R,true,1580,1,0,1,1,1,
bsp,208,R,false,1965,1,0,0,0,1,
bsp,209,R,false,1295,1,1,0,1,0,
bsp,210,R,true,1488,2,1,0,1,1,
bsp,211,R,true,1664,2,0,1,1,1,
bsp,212,R,false,529,1,1,0,1,1,
bsp,213,R,true,670,2,1,1,1,1,
bsp,214,R,false,816,1,1,0,0,1,
bsp,215,R,false,832,1,0,1,1,0,
bsp,216,R,true,1135,1,0,1,0,1,
bsp,217,R,true,1009,2,0,1,1,1,
bsp,218,R,true,1425,2,0,0,1,1,
bsp,219,R,true,3404,2,0,1,1,1,
bsp,220,R,false,1601,2,1,1,0,1,
bsp,221,R,true,544,1,1,0,1,0,
bsp,222,R,true,357,1,1,0,0,1,
bsp,223,R,false,845,2,1,1,0,1,
bsp,224,R,true,977,1,0,0,1,0,
bsp,225,R,false,1984,2,1,0,1,0,
bsp,226,R,true,1007,1,0,0,1,0,
bsp,227,R,true,959,2,0,1,1,1,
bsp,228,R,false,249,2,0,1,1,1,
bsp,229,R,true,816,1,0,0,1,0,
bsp,230,R,true,1201,1,0,1,1,1,
bsp,231,R,false,1537,2,0,1,0,0,
bsp,232,R,true,1408,1,1,0,1,1,
bsp,233,R,true,1682,2,0,1,1,1,
bsp,234,R,true,1105,1,1,1,1,1,
bsp,235,R,false,1648,1,1,0,0,1,
bsp,236,R,false,1010,2,1,0,0,0,
bsp,237,R,true,909,1,1,0,1,0,
bsp,238,R,true,991,1,0,1,1,1,
bsp,239,R,true,1212,2,1,0,1,0,
bsp,240,R,false,1042,1,1,1,0,0,
bsp,241,R,true,1120,2,0,1,1,1,
bsp,242,R,true,2001,1,1,1,1,0,
bsp,243,R,true,1488,1,1,1,1,1,
bsp,244,R,true,1026,2,0,1,1,1,
bsp,245,R,true,1201,2,1,1,1,1,
bsp,246,R,true,865,1,1,0,1,1,
bsp,247,R,false,1696,2,1,1,0,1,
bsp,248,R,false,1249,2,1,0,0,1,
bsp,249,R,true,908,1,0,0,1,1,
bsp,250,R,false,1136,1,1,0,1,0,
bsp,251,R,true,1633,1,1,1,0,1,
bsp,252,R,false,1198,2,0,0,1,1,
bsp,253,R,false,1600,1,0,1,1,0,
bsp,254,R,false,1422,1,1,1,0,0,
bsp,255,R,false,1232,2,0,0,1,0,
bsp,256,R,true,750,2,1,1,1,1,
bsp,257,R,false,1058,2,1,1,0,1,
bsp,258,R,true,1788,2,1,0,1,0,
bsp,259,R,true,2672,1,1,1,1,0,
bsp,260,R,false,1697,2,0,1,1,0,
bsp,261,R,false,3619,2,1,1,0,1,
bsp,262,R,false,1083,2,1,1,1,0,
bsp,263,R,true,1134,1,1,1,1,1,
bsp,264,R,true,1683,2,1,0,1,1,
bsp,265,R,true,4235,2,1,1,1,1,
bsp,266,R,false,1198,1,0,1,1,0,
bsp,267,R,true,987,1,1,1,1,1,
bsp,268,R,true,2304,1,0,1,0,1,
bsp,269,R,true,1796,2,0,1,1,1,
bsp,270,R,true,1499,1,0,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
bsp,271,R,false,3570,2,0,0,0,1,
bsp,272,R,true,1552,2,1,0,1,1,
bsp,273,R,true,1391,1,1,0,0,1,
bsp,274,R,true,1055,2,1,1,1,1,
bsp,275,R,false,1007,2,0,0,0,0,
bsp,276,R,false,1420,2,1,1,0,1,
bsp,277,R,false,1551,1,0,1,0,1,
bsp,278,R,true,1392,2,0,1,1,1,
bsp,279,R,true,1103,1,1,0,1,1,
bsp,280,R,true,993,1,0,0,1,1,
bsp,281,R,true,1552,1,0,1,1,1,
bsp,282,R,false,2192,2,0,0,1,0,
bsp,283,R,true,862,2,1,1,1,1,
bsp,284,R,true,1134,2,1,1,1,1,
bsp,285,R,true,734,2,1,1,1,1,
bsp,286,R,false,4784,1,1,1,1,0,
bsp,287,R,true,1120,2,1,0,1,1,
bsp,288,R,true,1308,1,1,0,1,0,
bsp,289,R,false,1168,2,0,0,0,1,
bsp,290,R,true,1071,1,1,0,1,1,
bsp,291,R,true,3087,1,1,1,0,1,
bsp,292,R,true,3261,2,0,1,1,1,
bsp,293,R,true,1312,2,1,0,1,0,
bsp,294,R,true,5600,2,0,0,1,0,
bsp,295,R,true,1347,2,0,1,1,1,
bsp,296,R,false,1340,2,1,0,1,0,
bsp,297,R,true,2014,1,0,0,1,0,
bsp,298,R,true,3649,1,0,0,0,1,
bsp,299,R,true,1437,2,0,0,1,1,
bsp,300,R,true,1456,2,0,1,1,1,
bsp,301,R,true,1727,1,1,1,1,1,
bsp,302,R,false,1920,1,0,0,1,0,
bsp,303,R,false,1969,1,0,1,1,0,
bsp,304,R,true,975,2,0,1,1,1,
bsp,305,R,true,1075,1,1,1,1,0,
bsp,306,R,true,1355,1,0,0,1,0,
bsp,307,R,true,1312,2,0,1,1,1,
bsp,308,R,true,866,2,0,1,1,1,
bsp,309,R,false,955,1,0,1,1,1,
bsp,310,R,true,1056,1,1,1,1,1,
bsp,311,R,true,859,1,1,0,1,1,
bsp,312,R,false,1579,1,0,1,0,1,
bsp,313,R,true,1694,2,0,0,1,1,
bsp,314,R,true,991,1,1,0,1,1,
bsp,315,R,true,2284,1,0,1,0,1,
bsp,316,R,true,1023,2,1,1,1,1,
bsp,317,R,false,2543,2,1,0,1,0,
bsp,318,R,true,1199,1,0,0,1,1,
bsp,319,R,true,3565,2,0,1,1,1,
bsp,320,R,true,1137,1,1,1,1,1,
bsp,321,R,true,1616,2,0,0,1,1,
bsp,322,R,true,3105,1,1,1,1,0,
bsp,323,R,false,1200,2,1,0,0,0,
bsp,324,R,true,768,2,1,1,1,1,
bsp,325,R,true,3040,1,1,1,1,1,
bsp,326,R,true,1725,2,0,1,0,1,
bsp,327,R,true,990,1,0,0,1,1,
bsp,328,R,true,1295,2,0,1,1,1,
bsp,329,R,true,1698,2,1,0,1,1,
bsp,330,R,true,1627,2,1,0,1,1,
bsp,331,R,true,4178,1,1,1,1,1,
bsp,332,R,true,4909,2,0,1,1,1,
bsp,333,R,true,1232,2,0,1,1,1,
bsp,334,R,false,1315,1,0,1,0,0,
bsp,335,R,true,1403,2,0,1,1,1,
bsp,336,R,true,1406,1,0,0,1,1,
bsp,337,R,true,1458,2,0,1,1,1,
bsp,338,R,true,7669,2,1,1,0,1,
bsp,339,R,false,1472,1,0,0,0,0,
bsp,340,R,true,2192,1,1,1,1,0,
bsp,341,R,true,1757,1,0,1,1,1,
bsp,342,R,true,1408,2,1,1,1,1,
bsp,343,R,true,1248,2,1,1,1,1,
bsp,344,R,false,1245,1,1,1,0,0,
bsp,345,R,true,1198,2,1,1,1,1,
bsp,346,R,true,831,1,0,0,1,1,
bsp,347,R,true,1951,2,0,0,1,0,
bsp,348,R,true,1887,2,1,0,1,1,
bsp,349,R,true,1488,2,0,1,0,1,
bsp,350,R,true,1854,2,1,1,1,1,
bsp,351,R,false,1440,2,1,0,1,0,
bsp,352,R,false,1741,1,0,1,1,0,
bsp,353,R,true,1183,2,1,1,1,1,
