subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
pj7,1,R,false,4819,2,1,0,0,1,
pj7,2,R,true,12117,2,0,0,0,1,
pj7,3,R,false,19395,1,1,0,0,1,
pj7,4,R,true,3787,2,0,1,1,1,
pj7,5,R,false,2384,1,1,1,1,1,
pj7,6,R,true,4912,1,1,1,0,1,
pj7,7,R,true,5916,2,0,1,1,1,
pj7,8,R,false,4747,1,1,1,0,1,
pj7,9,R,true,8863,2,1,1,0,1,
pj7,10,R,true,5852,1,1,1,1,1,
pj7,11,R,true,3995,1,1,1,1,1,
pj7,12,R,true,7633,2,0,1,1,1,
pj7,13,R,true,1916,2,1,0,1,1,
pj7,14,R,false,2317,2,1,0,0,0,
pj7,15,R,true,3118,2,0,1,1,1,
pj7,16,R,false,6973,2,1,0,1,0,
pj7,17,R,true,2768,1,0,0,1,0,
pj7,18,R,false,1421,1,0,0,1,0,
pj7,19,R,false,2130,2,0,1,1,0,
pj7,20,R,true,3101,1,0,0,1,1,
pj7,21,R,true,3420,2,1,0,0,1,
pj7,22,R,false,2367,2,1,1,0,0,
pj7,23,R,true,10577,2,0,0,1,1,
pj7,24,R,true,4491,2,0,1,1,0,
pj7,25,R,true,2095,1,1,1,1,1,
pj7,26,R,true,4126,2,0,1,1,1,
pj7,27,R,true,1599,2,0,0,1,1,
pj7,28,R,true,1584,1,0,1,1,1,
pj7,29,R,true,1392,1,1,1,1,1,
pj7,30,R,true,1728,2,1,0,1,1,
pj7,31,R,true,1872,2,0,1,1,1,
pj7,32,R,false,3838,2,0,0,1,1,
pj7,33,R,false,2512,2,1,0,0,1,
pj7,34,R,true,4224,1,0,1,1,1,
pj7,35,R,false,6786,1,1,1,0,1,
pj7,36,R,true,29739,1,1,1,0,1,
pj7,37,R,true,4512,2,0,0,0,1,
pj7,38,R,true,2572,2,1,0,0,1,
pj7,39,R,true,1262,1,1,1,1,1,
pj7,40,R,true,1709,2,1,0,1,1,
pj7,41,R,false,2625,1,1,1,1,0,
pj7,42,R,true,2079,2,1,0,1,0,
pj7,43,R,true,1584,2,0,1,1,1,
pj7,44,R,true,3600,2,0,1,0,1,
pj7,45,R,true,1633,2,1,1,1,1,
pj7,46,R,true,2559,2,0,1,1,1,
pj7,47,R,false,5824,2,0,0,1,0,
pj7,48,R,true,3327,2,1,0,1,1,
pj7,49,R,true,1711,1,0,1,1,1,
pj7,50,R,true,4145,1,1,1,1,1,
pj7,51,R,true,10239,2,1,1,0,1,
pj7,52,R,true,1260,2,1,1,1,1,
pj7,53,R,true,1826,1,1,1,1,1,
pj7,54,R,true,2139,2,0,0,1,1,
pj7,55,R,false,2800,1,0,0,0,1,
pj7,56,R,false,4463,1,1,1,1,0,
pj7,57,R,true,4736,1,0,1,0,1,
pj7,58,R,false,4179,1,0,0,1,0,
pj7,59,R,true,2203,1,0,0,0,0,
pj7,60,R,true,1792,2,1,1,1,1,
pj7,61,R,true,1777,1,1,0,1,1,
pj7,62,R,false,2127,2,0,0,0,1,
pj7,63,R,true,1871,1,0,1,1,1,
pj7,64,R,true,1134,1,0,0,1,1,
pj7,65,R,true,2428,2,1,1,1,1,
pj7,66,R,true,1280,2,1,1,1,1,
pj7,67,R,false,4768,2,0,0,0,1,
pj7,68,R,false,1423,2,0,0,0,1,
pj7,69,R,false,959,1,0,1,0,0,
pj7,70,R,true,3231,2,1,0,1,1,
pj7,71,R,true,7516,1,0,1,0,1,
pj7,72,R,false,1262,2,1,1,0,0,
pj7,73,R,false,5954,1,0,0,0,1,
pj7,74,R,true,1404,2,1,1,1,1,
pj7,75,R,false,2015,2,0,1,1,0,
pj7,76,R,false,3487,2,1,0,1,0,
pj7,77,R,true,1393,2,0,0,1,1,
pj7,78,R,true,1491,1,1,0,1,1,
pj7,79,R,true,3227,1,1,1,1,1,
pj7,80,R,true,2351,2,1,0,1,0,
pj7,81,R,true,1293,1,1,1,1,1,
pj7,82,R,true,2127,1,0,0,1,0,
pj7,83,R,false,2001,1,0,0,0,0,
pj7,84,R,true,5120,2,1,1,0,1,
pj7,85,R,true,2144,2,1,1,0,1,
pj7,86,R,true,1805,2,0,1,0,1,
pj7,87,R,true,1919,2,0,1,1,1,
pj7,88,R,false,5325,1,1,0,1,0,
pj7,89,R,false,2204,1,1,0,0,0,
pj7,90,R,true,2526,1,0,1,1,1,
pj7,91,R,true,1743,1,1,0,1,0,
pj7,92,R,true,1727,1,1,0,1,1,
pj7,93,R,false,15791,1,1,0,1,0,
pj7,94,R,false,4909,1,1,1,1,0,
pj7,95,R,false,4930,1,1,0,0,1,
pj7,96,R,true,4287,2,0,1,0,1,
pj7,97,R,true,4394,1,1,1,1,0,
pj7,98,R,true,3934,1,0,1,1,0,
pj7,99,R,false,5199,2,0,0,1,0,
pj7,100,R,false,4974,1,0,1,0,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
pj7,101,R,true,1983,1,0,0,1,0,
pj7,102,R,true,1388,2,1,1,0,1,
pj7,103,R,false,2048,1,1,1,0,1,
pj7,104,R,true,1104,2,1,1,1,1,
pj7,105,R,false,2432,1,1,1,0,1,
pj7,106,R,true,1440,1,1,1,1,1,
pj7,107,R,true,5121,1,0,1,0,1,
pj7,108,R,false,1715,2,1,0,0,1,
pj7,109,R,false,2075,1,1,1,1,0,
pj7,110,R,true,2048,2,0,0,1,0,
pj7,111,R,false,3087,1,0,1,1,0,
pj7,112,R,false,2417,2,0,1,0,0,
pj7,113,R,true,2544,2,1,1,0,1,
pj7,114,R,true,2447,2,1,1,0,1,
pj7,115,R,false,9200,2,0,0,1,0,
pj7,116,R,true,1729,2,0,0,1,0,
pj7,117,R,false,2883,1,1,1,1,0,
pj7,118,R,true,1452,2,0,1,1,1,
pj7,119,R,true,1151,1,0,0,1,1,
pj7,120,R,false,1425,2,1,0,0,0,
pj7,121,R,true,2242,2,1,1,1,1,
pj7,122,R,false,4539,1,1,1,0,1,
pj7,123,R,false,1569,2,0,0,0,0,
pj7,124,R,false,2867,2,1,0,0,0,
pj7,125,R,false,1642,2,0,0,0,0,
pj7,126,R,false,4401,1,0,0,1,1,
pj7,127,R,false,1794,2,1,0,0,1,
pj7,128,R,true,1201,2,0,0,1,1,
pj7,129,R,true,2175,2,0,0,1,0,
pj7,130,R,false,2434,1,1,0,1,0,
pj7,131,R,true,1434,1,1,1,1,1,
pj7,132,R,true,1824,2,1,0,1,0,
pj7,133,R,true,1360,2,1,1,1,1,
pj7,134,R,false,1806,1,0,0,1,0,
pj7,135,R,false,1551,1,0,0,0,0,
pj7,136,R,true,1395,2,0,1,1,1,
pj7,137,R,true,1322,1,0,1,1,1,
pj7,138,R,false,1133,2,1,0,0,0,
pj7,139,R,true,1042,2,0,0,0,0,
pj7,140,R,true,2203,2,1,1,1,1,
pj7,141,R,true,2319,2,0,0,1,0,
pj7,142,R,true,1968,2,0,1,1,1,
pj7,143,R,true,2783,1,1,1,0,1,
pj7,144,R,false,1757,1,1,1,0,1,
pj7,145,R,true,1636,2,0,1,1,1,
pj7,146,R,true,2332,2,0,1,1,1,
pj7,147,R,false,1120,1,1,0,0,1,
pj7,148,R,false,2210,2,1,1,0,1,
pj7,149,R,true,8141,2,0,0,1,1,
pj7,150,R,true,1645,1,1,1,1,1,
pj7,151,R,true,7968,1,0,0,1,1,
pj7,152,R,true,5728,2,1,1,1,1,
pj7,153,R,true,3600,1,1,0,1,1,
pj7,154,R,true,2255,1,0,0,1,1,
pj7,155,R,true,1443,2,1,0,1,1,
pj7,156,R,true,3212,1,0,1,0,1,
pj7,157,R,true,1312,1,1,1,1,1,
pj7,158,R,false,1089,1,0,0,0,0,
pj7,159,R,true,1443,2,1,1,1,1,
pj7,160,R,true,890,1,1,1,1,1,
pj7,161,R,false,751,2,0,0,0,0,
pj7,162,R,false,1216,1,1,0,1,0,
pj7,163,R,true,1425,1,1,0,1,0,
pj7,164,R,true,2155,2,1,0,1,0,
pj7,165,R,false,1200,1,1,0,0,1,
pj7,166,R,true,1135,2,1,1,1,1,
pj7,167,R,true,3199,1,1,1,1,0,
pj7,168,R,true,1312,2,1,1,1,1,
pj7,169,R,true,1938,1,0,1,0,1,
pj7,170,R,true,2009,2,0,0,1,1,
pj7,171,R,true,1876,1,0,0,0,0,
pj7,172,R,true,4154,1,1,0,1,1,
pj7,173,R,true,3602,1,1,0,1,0,
pj7,174,R,false,1099,1,0,1,1,0,
pj7,175,R,true,1135,1,1,1,1,1,
pj7,176,R,true,1633,1,0,1,1,1,
pj7,177,R,true,1452,1,1,1,1,1,
pj7,178,R,true,1649,2,0,1,1,1,
pj7,179,R,true,1550,2,1,0,1,1,
pj7,180,R,false,4239,2,0,1,1,0,
pj7,181,R,true,1682,1,0,0,1,0,
pj7,182,R,false,2123,1,1,1,0,1,
pj7,183,R,true,880,1,1,0,1,1,
pj7,184,R,true,1168,2,1,0,1,1,
pj7,185,R,false,1264,2,0,1,1,0,
pj7,186,R,true,1885,2,0,1,1,1,
pj7,187,R,true,1392,1,1,0,1,1,
pj7,188,R,true,960,1,1,0,1,1,
pj7,189,R,true,1649,2,0,1,0,1,
pj7,190,R,true,1307,2,1,0,1,0,
pj7,191,R,false,1119,2,1,1,0,0,
pj7,192,R,true,2351,2,0,1,1,1,
pj7,193,R,false,1105,2,1,1,0,0,
pj7,194,R,true,1968,1,0,0,1,1,
pj7,195,R,true,1649,2,1,1,1,0,
pj7,196,R,true,943,1,0,0,1,1,
pj7,197,R,false,1260,2,0,0,1,0,
pj7,198,R,true,1182,1,1,1,1,1,
pj7,199,R,false,1149,2,1,1,0,1,
pj7,200,R,true,2334,2,1,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
pj7,201,R,false,2069,1,1,1,0,0,
pj7,202,R,true,2642,1,1,0,1,1,
pj7,203,R,true,1901,2,1,1,0,1,
pj7,204,R,true,1217,2,0,1,0,1,
pj7,205,R,true,1025,1,1,0,1,1,
pj7,206,R,true,987,1,1,0,1,1,
pj7,207,R,true,1391,2,1,1,1,1,
pj7,208,R,true,739,1,1,0,1,1,
pj7,209,R,true,1578,2,0,0,0,1,
pj7,210,R,true,1489,2,1,0,1,1,
pj7,211,R,true,3405,1,0,0,1,1,
pj7,212,R,true,1856,2,1,0,1,1,
pj7,213,R,true,2462,1,0,1,0,1,
pj7,214,R,true,1440,2,1,1,1,1,
pj7,215,R,false,1793,1,1,1,0,1,
pj7,216,R,true,1339,2,1,1,1,1,
pj7,217,R,true,1549,2,0,1,0,1,
pj7,218,R,true,2335,1,0,1,0,1,
pj7,219,R,true,3711,1,1,1,1,0,
pj7,220,R,false,1356,1,1,0,0,0,
pj7,221,R,true,781,1,0,0,1,1,
pj7,222,R,true,1469,2,1,1,1,0,
pj7,223,R,true,1361,2,1,0,1,1,
pj7,224,R,false,4223,1,0,1,0,1,
pj7,225,R,false,1152,2,0,0,0,1,
pj7,226,R,true,2963,2,0,0,1,1,
pj7,227,R,true,1002,2,1,0,1,1,
pj7,228,R,true,865,1,0,0,1,1,
pj7,229,R,true,1231,1,1,1,1,1,
pj7,230,R,false,1420,1,1,1,0,1,
pj7,231,R,true,641,1,1,0,1,1,
pj7,232,R,true,897,2,0,1,1,1,
pj7,233,R,true,1568,2,1,1,0,1,
pj7,234,R,false,2177,1,1,0,0,1,
pj7,235,R,true,1712,1,0,1,1,1,
pj7,236,R,true,1152,2,1,1,1,1,
pj7,237,R,true,1104,1,0,0,1,1,
pj7,238,R,true,1777,2,1,1,0,1,
pj7,239,R,true,941,2,1,0,1,1,
pj7,240,R,false,1135,1,1,0,0,0,
pj7,241,R,true,1200,1,1,0,1,1,
pj7,242,R,true,960,2,1,1,1,1,
pj7,243,R,true,800,1,0,1,1,1,
pj7,244,R,true,1152,2,1,0,1,1,
pj7,245,R,false,689,1,0,1,0,0,
pj7,246,R,true,720,1,0,1,1,1,
pj7,247,R,false,783,1,0,0,0,0,
pj7,248,R,true,704,1,1,0,1,1,
pj7,249,R,true,1025,2,0,1,0,1,
pj7,250,R,true,606,2,1,0,1,0,
pj7,251,R,false,1329,2,1,0,0,1,
pj7,252,R,true,976,2,1,0,1,1,
pj7,253,R,false,928,1,0,1,0,0,
pj7,254,R,false,705,2,0,1,0,1,
pj7,255,R,true,689,1,0,1,1,1,
pj7,256,R,false,2544,1,1,1,1,0,
pj7,257,R,false,961,1,1,1,1,0,
pj7,258,R,true,593,2,0,1,1,1,
pj7,259,R,true,964,1,0,0,1,1,
pj7,260,R,true,732,2,0,1,1,1,
pj7,261,R,true,1710,2,0,1,0,1,
pj7,262,R,true,1744,2,0,0,1,1,
pj7,263,R,false,1152,1,0,1,0,0,
pj7,264,R,true,736,1,0,1,1,1,
pj7,265,R,true,1440,2,1,0,1,0,
pj7,266,R,true,800,1,1,1,1,1,
pj7,267,R,true,1442,2,1,0,1,1,
pj7,268,R,true,716,2,1,1,1,1,
pj7,269,R,false,638,1,1,0,0,0,
pj7,270,R,true,641,2,1,0,1,0,
pj7,271,R,true,688,2,1,1,1,1,
pj7,272,R,true,1021,1,1,0,1,1,
pj7,273,R,false,4589,1,1,1,0,1,
pj7,274,R,false,1633,1,0,0,1,0,
pj7,275,R,true,1470,2,0,0,0,1,
pj7,276,R,true,928,1,1,1,1,1,
pj7,277,R,false,1150,2,1,0,0,1,
pj7,278,R,true,2515,2,0,0,1,0,
pj7,279,R,true,1116,1,0,0,1,1,
pj7,280,R,true,1326,1,0,0,1,0,
pj7,281,R,true,929,1,1,0,1,0,
pj7,282,R,true,1457,1,0,0,1,1,
pj7,283,R,true,2095,1,0,1,0,1,
pj7,284,R,true,1283,2,1,0,1,1,
pj7,285,R,false,1243,1,0,0,0,1,
pj7,286,R,true,3058,1,1,0,1,1,
pj7,287,R,true,1499,2,1,1,1,0,
pj7,288,R,true,749,2,1,1,1,1,
pj7,289,R,false,958,2,0,0,0,1,
pj7,290,R,true,977,1,0,0,1,1,
pj7,291,R,true,2369,2,0,0,1,1,
pj7,292,R,true,2270,2,1,0,1,1,
pj7,293,R,true,1793,2,0,0,1,0,
pj7,294,R,true,913,2,1,1,1,1,
pj7,295,R,true,1072,2,0,0,1,1,
pj7,296,R,true,1615,2,0,1,1,1,
pj7,297,R,false,1600,2,1,1,1,0,
pj7,298,R,true,303,2,0,1,1,1,
pj7,299,R,false,848,1,1,0,0,0,
pj7,300,R,false,1378,1,1,1,0,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
