subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
ga4,1,L,true,5020,1,1,1,1,1,
ga4,2,L,true,5205,2,0,1,0,0,
ga4,3,L,true,6559,2,0,1,0,0,
ga4,4,L,true,5173,1,1,0,1,1,
ga4,5,L,true,11099,2,0,1,1,1,
ga4,6,L,true,3141,1,1,0,1,1,
ga4,7,L,true,7442,1,0,1,0,1,
ga4,8,L,true,6502,1,0,0,1,0,
ga4,9,L,true,9374,2,0,1,0,1,
ga4,10,L,true,2123,1,1,0,1,1,
ga4,11,L,false,3423,1,0,1,1,0,
ga4,12,L,true,3855,2,1,0,1,0,
ga4,13,L,true,3561,2,1,0,1,1,
ga4,14,L,true,6972,2,1,0,1,0,
ga4,15,L,true,5759,1,1,0,1,1,
ga4,16,L,false,8046,1,0,0,0,1,
ga4,17,L,false,5438,2,1,0,0,1,
ga4,18,L,true,2950,2,1,1,1,1,
ga4,19,L,true,2487,2,0,0,1,1,
ga4,20,L,true,5303,2,1,1,1,0,
ga4,21,L,true,4735,1,1,1,1,1,
ga4,22,L,true,1637,1,1,0,1,1,
ga4,23,L,false,2859,2,1,0,0,1,
ga4,24,L,false,3607,2,1,1,0,1,
ga4,25,L,true,3232,1,1,1,1,1,
ga4,26,L,false,1790,1,0,1,0,0,
ga4,27,L,true,1548,1,1,1,1,1,
ga4,28,L,true,2428,2,0,1,1,1,
ga4,29,L,false,3766,1,1,0,0,1,
ga4,30,L,true,3174,2,1,0,1,1,
ga4,31,L,true,1937,2,1,1,1,1,
ga4,32,L,true,1419,2,1,1,1,1,
ga4,33,L,true,1943,1,1,1,1,1,
ga4,34,L,true,1954,1,1,0,1,1,
ga4,35,L,true,1910,1,1,0,1,0,
ga4,36,L,true,1719,1,1,0,1,1,
ga4,37,L,false,3301,1,0,1,0,0,
ga4,38,L,true,5829,2,1,0,1,1,
ga4,39,L,true,2361,1,1,0,1,1,
ga4,40,L,true,1336,1,0,1,1,1,
ga4,41,L,true,3519,2,0,0,1,0,
ga4,42,L,true,11371,1,0,1,1,1,
ga4,43,L,false,1275,1,0,0,0,0,
ga4,44,L,true,2275,1,0,1,1,1,
ga4,45,L,true,1118,2,1,1,1,1,
ga4,46,L,true,1079,1,1,1,1,1,
ga4,47,L,true,2007,2,1,0,1,0,
ga4,48,L,true,5249,1,1,1,1,0,
ga4,49,L,true,1863,1,1,0,1,1,
ga4,50,L,true,7213,1,0,0,1,1,
ga4,51,L,true,1375,1,1,1,1,1,
ga4,52,L,true,5604,2,0,0,1,1,
ga4,53,L,true,4238,1,0,0,1,0,
ga4,54,L,false,2936,1,1,1,0,1,
ga4,55,L,true,5143,2,1,0,1,0,
ga4,56,L,true,7102,1,1,0,1,1,
ga4,57,L,true,1667,1,0,1,1,1,
ga4,58,L,true,1140,1,1,0,1,1,
ga4,59,L,true,1193,2,1,0,1,0,
ga4,60,L,true,3220,2,0,1,0,1,
ga4,61,L,false,5088,1,0,0,1,0,
ga4,62,L,true,1887,1,0,0,1,1,
ga4,63,L,true,3560,2,1,1,1,1,
ga4,64,L,true,1722,1,1,1,1,1,
ga4,65,L,true,3098,1,0,0,1,0,
ga4,66,L,true,5036,1,1,1,1,0,
ga4,67,L,true,1741,2,1,1,1,0,
ga4,68,L,true,3937,2,1,1,1,1,
ga4,69,L,true,1134,1,1,1,1,1,
ga4,70,L,true,2375,2,1,0,1,1,
ga4,71,L,false,9996,2,0,1,1,0,
ga4,72,L,true,2784,2,0,1,0,1,
ga4,73,L,true,1428,2,1,1,1,1,
ga4,74,L,true,1476,2,1,0,1,1,
ga4,75,L,false,2125,1,1,0,0,1,
ga4,76,L,true,3799,2,0,1,1,1,
ga4,77,L,true,3332,1,0,0,1,0,
ga4,78,L,false,2091,2,0,1,0,0,
ga4,79,L,true,1883,1,0,1,1,1,
ga4,80,L,false,3822,1,0,1,0,0,
ga4,81,L,true,2981,2,1,1,1,1,
ga4,82,L,true,9447,2,1,1,1,0,
ga4,83,L,true,3422,2,0,0,1,0,
ga4,84,L,true,2133,1,0,1,1,1,
ga4,85,L,true,1150,1,1,1,1,1,
ga4,86,L,true,1790,2,0,1,0,1,
ga4,87,L,true,1342,1,1,0,1,0,
ga4,88,L,false,2383,1,0,0,0,1,
ga4,89,L,true,1669,2,1,0,1,1,
ga4,90,L,true,1457,2,1,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
ga4,91,L,false,6240,2,0,0,0,0,
ga4,92,L,true,2074,2,0,0,1,1,
ga4,93,L,false,4703,1,1,1,1,0,
ga4,94,L,true,2082,1,1,0,1,0,
ga4,95,L,true,1216,2,1,1,1,1,
ga4,96,L,true,1468,2,0,1,1,1,
ga4,97,L,false,1135,1,0,1,0,0,
ga4,98,L,false,2808,1,0,1,1,0,
ga4,99,L,true,4184,1,0,0,1,1,
ga4,100,L,true,1183,1,0,1,1,1,
ga4,101,L,true,3450,1,1,0,1,1,
ga4,102,L,false,7364,2,0,1,1,0,
ga4,103,L,true,4671,1,0,1,0,1,
ga4,104,L,false,2287,2,0,1,0,0,
ga4,105,L,false,4166,2,0,0,0,1,
ga4,106,L,true,1073,1,0,1,1,1,
ga4,107,L,true,6576,1,0,1,0,1,
ga4,108,L,false,2957,2,1,0,0,1,
ga4,109,L,false,4119,1,0,0,0,0,
ga4,110,L,false,2919,2,1,1,1,0,
ga4,111,L,false,5622,1,1,1,0,1,
ga4,112,L,true,4257,2,1,0,1,1,
ga4,113,L,true,1407,1,0,0,1,1,
ga4,114,L,false,2275,2,0,1,0,0,
ga4,115,L,true,2202,2,1,0,1,1,
ga4,116,L,true,1047,2,1,1,1,1,
ga4,117,L,true,1917,1,0,0,1,1,
ga4,118,L,true,1607,2,0,1,1,1,
ga4,119,L,true,1133,1,0,0,1,1,
ga4,120,L,true,1025,2,1,1,1,1,
ga4,121,L,true,4388,2,0,1,0,1,
ga4,122,L,true,1899,1,1,0,1,1,
ga4,123,L,true,1449,1,1,1,1,1,
ga4,124,L,true,1479,1,1,1,1,0,
ga4,125,L,false,4838,1,1,1,0,1,
ga4,126,L,true,2260,1,1,0,1,1,
ga4,127,L,true,2768,1,0,1,0,1,
ga4,128,L,true,1631,1,0,1,1,1,
ga4,129,L,true,3769,1,1,0,1,0,
ga4,130,L,false,2790,1,1,0,0,1,
ga4,131,L,true,5127,2,1,1,1,1,
ga4,132,L,false,8481,1,0,0,0,1,
ga4,133,L,true,2454,1,1,0,1,1,
ga4,134,L,true,1839,1,1,1,1,1,
ga4,135,L,true,902,1,0,0,1,1,
ga4,136,L,false,863,2,0,1,0,0,
ga4,137,L,false,1813,2,1,0,0,1,
ga4,138,L,true,2089,2,1,0,1,0,
ga4,139,L,true,1191,1,1,0,1,1,
ga4,140,L,true,1918,2,1,1,1,1,
ga4,141,L,true,1222,2,1,1,1,1,
ga4,142,L,true,997,1,1,0,1,1,
ga4,143,L,true,1274,2,1,1,1,1,
ga4,144,L,true,775,1,0,0,1,1,
ga4,145,L,true,883,2,1,1,1,1,
ga4,146,L,false,739,2,0,1,0,0,
ga4,147,L,true,1422,2,1,0,1,1,
ga4,148,L,false,4164,2,0,0,0,1,
ga4,149,L,false,2511,1,1,0,0,1,
ga4,150,L,true,1128,1,0,0,1,1,
ga4,151,L,false,3200,1,1,0,0,1,
ga4,152,L,false,3329,2,0,1,1,0,
ga4,153,L,true,3002,2,1,0,1,0,
ga4,154,L,true,3058,2,1,1,1,1,
ga4,155,L,true,2160,1,0,1,0,1,
ga4,156,L,false,2218,2,0,0,0,0,
ga4,157,L,false,7047,2,0,0,0,1,
ga4,158,L,true,2394,2,0,1,1,1,
ga4,159,L,false,3757,2,0,0,0,1,
ga4,160,L,true,5785,1,1,0,1,1,
ga4,161,L,true,5520,1,1,1,1,0,
ga4,162,L,false,12212,2,0,1,1,0,
ga4,163,L,true,6292,2,0,1,0,1,
ga4,164,L,true,1746,1,1,1,0,1,
ga4,165,L,true,2594,2,0,1,1,1,
ga4,166,L,false,4705,1,1,0,0,1,
ga4,167,L,false,3919,2,0,0,0,1,
ga4,168,L,true,3670,2,1,0,1,1,
ga4,169,L,false,12464,1,0,0,1,0,
ga4,170,L,true,2444,1,0,0,1,1,
ga4,171,L,false,2234,2,1,1,0,1,
ga4,172,L,true,2233,1,0,1,0,1,
ga4,173,L,true,1970,2,1,1,1,1,
ga4,174,L,false,2801,2,0,0,0,1,
ga4,175,L,true,4110,1,0,1,0,1,
ga4,176,L,false,7284,2,0,0,0,1,
ga4,177,L,true,7539,1,1,1,1,0,
ga4,178,L,false,1829,1,1,0,0,0,
ga4,179,L,true,1752,1,0,0,1,1,
ga4,180,L,true,1834,1,0,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
ga4,181,L,true,3120,2,0,0,1,1,
ga4,182,L,true,1228,2,0,0,1,1,
ga4,183,L,false,1380,2,0,1,0,0,
ga4,184,L,true,962,1,1,1,1,1,
ga4,185,L,false,1245,2,1,0,0,0,
ga4,186,L,true,1058,2,1,1,1,1,
ga4,187,L,true,1113,2,0,0,1,1,
ga4,188,L,false,3455,2,0,0,0,1,
ga4,189,L,true,1293,2,1,1,1,1,
ga4,190,L,true,3401,1,0,1,0,1,
ga4,191,L,false,2356,1,0,0,0,1,
ga4,192,L,false,8509,1,1,0,0,0,
ga4,193,L,true,1208,2,1,0,1,1,
ga4,194,L,false,1059,1,1,0,1,0,
ga4,195,L,true,2476,2,1,0,1,1,
ga4,196,L,true,2801,1,0,0,1,0,
ga4,197,L,true,1936,1,0,1,1,1,
ga4,198,L,true,9103,1,0,1,0,1,
ga4,199,L,false,5165,2,1,1,0,1,
ga4,200,L,true,3175,1,0,1,0,1,
ga4,201,L,true,2371,1,0,1,1,1,
ga4,202,L,true,2257,2,1,0,1,0,
ga4,203,L,true,2599,2,1,1,1,0,
ga4,204,L,true,1288,1,0,0,1,1,
ga4,205,L,true,2063,1,0,1,1,1,
