subID,trialNum,cntBalance,correct,rt,winner,p1conf,p2conf,p1rslt,p2rslt,
f88,1,R,true,5364,1,0,1,1,1,
f88,2,R,true,5216,2,1,1,1,1,
f88,3,R,false,11794,1,1,0,1,1,
f88,4,R,true,2171,1,0,1,1,1,
f88,5,R,true,12116,1,0,0,0,1,
f88,6,R,true,1656,1,0,1,1,1,
f88,7,R,true,1536,2,0,1,1,1,
f88,8,R,true,2180,1,0,1,1,1,
f88,9,R,true,7676,2,0,0,0,1,
f88,10,R,true,1549,1,1,1,1,1,
f88,11,R,false,15816,1,0,1,1,0,
f88,12,R,false,5100,1,0,0,1,0,
f88,13,R,true,1621,1,0,1,0,1,
f88,14,R,true,4224,2,0,1,1,1,
f88,15,R,true,1029,1,0,1,0,1,
f88,16,R,false,1398,2,0,0,0,1,
f88,17,R,false,3278,1,1,0,1,1,
f88,18,R,false,2987,2,1,0,1,0,
f88,19,R,true,6288,2,1,0,1,0,
f88,20,R,true,1507,1,1,1,1,1,
f88,21,R,true,4551,1,1,1,0,1,
f88,22,R,false,3399,1,1,0,1,1,
f88,23,R,true,2034,1,0,1,0,1,
f88,24,R,true,1787,2,1,0,1,0,
f88,25,R,false,7670,1,1,1,1,0,
f88,26,R,true,1896,2,0,0,1,1,
f88,27,R,true,3071,1,0,1,1,1,
f88,28,R,false,3802,1,1,1,0,1,
f88,29,R,true,2519,2,0,0,1,1,
f88,30,R,true,1990,2,0,1,1,1,
f88,31,R,true,2951,2,1,0,1,0,
f88,32,R,true,2369,2,0,0,1,1,
f88,33,R,true,8727,2,1,0,1,1,
f88,34,R,true,4149,1,1,1,1,0,
f88,35,R,true,2824,1,1,1,1,1,
f88,36,R,false,8774,1,0,1,1,0,
f88,37,R,true,4502,1,1,1,1,1,
f88,38,R,false,2378,2,0,0,0,1,
f88,39,R,false,5090,2,0,1,0,0,
f88,40,R,false,3287,1,1,1,0,1,
f88,41,R,true,6190,2,0,1,1,1,
f88,42,R,true,1398,1,0,0,1,1,
f88,43,R,true,981,1,0,1,1,1,
f88,44,R,false,2292,1,1,0,0,1,
f88,45,R,false,2166,2,1,1,1,0,
f88,46,R,true,1284,2,1,1,1,1,
f88,47,R,false,1623,2,0,0,0,0,
f88,48,R,true,1984,1,1,1,1,1,
f88,49,R,false,2860,1,1,1,0,1,
f88,50,R,true,2064,2,1,0,1,1,
f88,51,R,true,1246,2,0,1,1,1,
f88,52,R,true,1622,1,0,1,1,1,
f88,53,R,false,1141,2,0,1,0,0,
f88,54,R,false,1269,1,0,0,1,1,
f88,55,R,false,1297,2,0,0,0,0,
f88,56,R,true,1316,1,1,1,1,1,
f88,57,R,true,1486,2,1,0,1,0,
f88,58,R,true,2454,1,1,1,1,1,
f88,59,R,true,1960,2,0,1,1,1,
f88,60,R,true,5300,2,0,1,0,1,
f88,61,R,false,5308,1,0,0,1,0,
f88,62,R,false,1520,2,1,0,0,1,
f88,63,R,true,1319,2,0,0,1,1,
f88,64,R,true,1207,2,1,1,1,1,
f88,65,R,false,3117,2,0,0,0,0,
f88,66,R,true,1812,1,0,1,1,1,
f88,67,R,false,4680,2,0,1,0,0,
f88,68,R,false,1328,1,1,0,1,0,
f88,69,R,false,1235,2,0,0,0,0,
f88,70,R,true,3169,2,1,1,0,1,
f88,71,R,false,2388,2,1,1,0,0,
f88,72,R,true,1897,1,0,0,1,0,
f88,73,R,false,1750,1,0,0,1,1,
f88,74,R,false,2172,2,0,0,0,1,
f88,75,R,true,1783,1,0,0,1,0,
f88,76,R,true,2080,1,1,1,1,1,
f88,77,R,true,8590,1,1,0,1,1,
f88,78,R,false,3502,1,0,0,0,1,
f88,79,R,true,3324,1,1,1,0,1,
f88,80,R,false,1629,2,0,1,0,1,
f88,81,R,true,2112,2,1,0,1,0,
f88,82,R,true,1085,2,1,1,1,1,
f88,83,R,false,1637,1,0,0,1,1,
f88,84,R,false,887,1,0,0,1,1,
