"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","3588","0.0-0.0-0.0","0uk","[""L""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3590","0.0-0.0-1.0","0uk","[""L""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","167487","0.0-1.0","0uk","[""L""]","","","","","[{""page_index"":0,""viewing_time"":126408},{""page_index"":1,""viewing_time"":20616},{""page_index"":2,""viewing_time"":16872}]","163896","","","","","","","","","","","","","",""
"","psychophysics","3","173175","0.0-2.0-0.0","0uk","[""L""]","","","","","","4981","key","z","z","16.686085043988232","798","448.5","1","1","1","1","1","true","",""
"","psychophysics","4","174185","0.0-2.0-1.0","0uk","[""L""]","","","","","","null","key","null","null","16.687118644067933","798","448.5","1","1","1","1","1","","",""
"","psychophysics","5","175196","0.0-2.0-2.0-0.0","0uk","[""L""]","","","","","","null","key","null","null","16.685883333333187","798","448.5","1","1","1","1","1","","",""
"","psychophysics","6","179062","0.0-2.0-0.1","0uk","[""L""]","","","","","","3162","key","m","m","16.686259740259796","798","448.5","2","1","1","1","1","true","",""
"","psychophysics","7","180070","0.0-2.0-1.1","0uk","[""L""]","","","","","","null","key","null","null","16.68535593220317","798","448.5","2","1","1","1","1","","",""
"","psychophysics","8","181082","0.0-2.0-2.1-0.1","0uk","[""L""]","","","","","","null","key","null","null","16.68728333333323","798","448.5","2","1","1","1","1","","",""
"","psychophysics","9","184418","0.0-2.0-0.2","0uk","[""L""]","","","","","","2632","key","m","m","16.68561306532666","798","448.5","1","1","1","1","0","false","",""
"","psychophysics","10","185422","0.0-2.0-1.2","0uk","[""L""]","","","","","","null","key","null","null","16.689762711864837","798","448.5","1","1","1","1","0","","",""
"","psychophysics","11","186433","0.0-2.0-3.2-0.2","0uk","[""L""]","","","","","","null","key","null","null","16.687355932203452","798","448.5","1","1","1","1","0","","",""
"","psychophysics","12","188843","0.0-2.0-0.3","0uk","[""L""]","","","","","","1705","key","m","m","16.686020833333412","798","448.5","2","1","0","1","0","true","",""
"","psychophysics","13","189852","0.0-2.0-1.3","0uk","[""L""]","","","","","","null","key","null","null","16.687220338983085","798","448.5","2","1","0","1","0","","",""
"","psychophysics","14","190861","0.0-2.0-2.3-0.3","0uk","[""L""]","","","","","","null","key","null","null","16.687149999999868","798","448.5","2","1","0","1","0","","",""
"","psychophysics","15","193299","0.0-2.0-0.4","0uk","[""L""]","","","","","","1734","key","m","m","16.686206896551724","798","448.5","2","1","0","1","1","true","",""
"","psychophysics","16","194306","0.0-2.0-1.4","0uk","[""L""]","","","","","","null","key","null","null","16.68518644067808","798","448.5","2","1","0","1","1","","",""
"","psychophysics","17","195317","0.0-2.0-2.4-0.4","0uk","[""L""]","","","","","","null","key","null","null","16.68700000000002","798","448.5","2","1","0","1","1","","",""
"","psychophysics","18","197579","0.0-2.0-0.5","0uk","[""L""]","","","","","","1558","key","z","z","16.68637313432848","798","448.5","2","1","1","1","0","false","",""
"","psychophysics","19","198587","0.0-2.0-1.5","0uk","[""L""]","","","","","","null","key","null","null","16.685766666666797","798","448.5","2","1","1","1","0","","",""
"","psychophysics","20","199596","0.0-2.0-3.5-0.5","0uk","[""L""]","","","","","","null","key","null","null","16.686305084745737","798","448.5","2","1","1","1","0","","",""
"","psychophysics","21","204267","0.0-2.0-0.6","0uk","[""L""]","","","","","","3964","key","z","z","16.68588530465958","798","448.5","2","0","0","0","0","false","",""
"","psychophysics","22","205275","0.0-2.0-1.6","0uk","[""L""]","","","","","","null","key","null","null","16.688183333333292","798","448.5","2","0","0","0","0","","",""
"","psychophysics","23","206283","0.0-2.0-3.6-0.6","0uk","[""L""]","","","","","","null","key","null","null","16.686932203389993","798","448.5","2","0","0","0","0","","",""
"","psychophysics","24","208947","0.0-2.0-0.7","0uk","[""L""]","","","","","","1960","key","m","m","16.686566037735968","798","448.5","2","0","1","1","1","true","",""
"","psychophysics","25","209954","0.0-2.0-1.7","0uk","[""L""]","","","","","","null","key","null","null","16.68476271186462","798","448.5","2","0","1","1","1","","",""
"","psychophysics","26","210965","0.0-2.0-2.7-0.7","0uk","[""L""]","","","","","","null","key","null","null","16.687149999999868","798","448.5","2","0","1","1","1","","",""
"","psychophysics","27","212891","0.0-2.0-0.8","0uk","[""L""]","","","","","","1221","key","m","m","16.6857631578947","798","448.5","1","0","1","1","0","false","",""
"","psychophysics","28","213901","0.0-2.0-1.8","0uk","[""L""]","","","","","","null","key","null","null","16.6874000000001","798","448.5","1","0","1","1","0","","",""
