"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2511","0.0-0.0-0.0","btm","[""L""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2517","0.0-0.0-1.0","btm","[""L""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","113232","0.0-1.0","btm","[""L""]","","","","","[{""page_index"":0,""viewing_time"":55609},{""page_index"":1,""viewing_time"":24512},{""page_index"":2,""viewing_time"":30592}]","110714","","","","","","","","","","","","","",""
"","psychophysics","3","119694","0.0-2.0-0.0","btm","[""L""]","","","","","","5749","key","z","z","16.685883720930246","798","448.5","2","0","0","0","0","false","",""
"","psychophysics","4","120707","0.0-2.0-1.0","btm","[""L""]","","","","","","null","key","null","null","16.68626666666678","798","448.5","2","0","0","0","0","","",""
"","psychophysics","5","121718","0.0-2.0-3.0-0.0","btm","[""L""]","","","","","","null","key","null","null","16.686000000000032","798","448.5","2","0","0","0","0","","",""
"","psychophysics","6","125469","0.0-2.0-0.1","btm","[""L""]","","","","","","3041","key","m","m","16.686058035714332","798","448.5","1","0","1","0","1","false","",""
"","psychophysics","7","126480","0.0-2.0-1.1","btm","[""L""]","","","","","","null","key","null","null","16.686666666666618","798","448.5","1","0","1","0","1","","",""
"","psychophysics","8","127491","0.0-2.0-3.1-0.1","btm","[""L""]","","","","","","null","key","null","null","16.68625423728816","798","448.5","1","0","1","0","1","","",""
"","psychophysics","9","130020","0.0-2.0-0.2","btm","[""L""]","","","","","","1825","key","m","m","16.686112582781476","798","448.5","2","0","1","1","1","true","",""
"","psychophysics","10","131030","0.0-2.0-1.2","btm","[""L""]","","","","","","null","key","null","null","16.6872542372883","798","448.5","2","0","1","1","1","","",""
"","psychophysics","11","132040","0.0-2.0-2.2-0.2","btm","[""L""]","","","","","","null","key","null","null","16.686566666666476","798","448.5","2","0","1","1","1","","",""
"","psychophysics","12","134828","0.0-2.0-0.3","btm","[""L""]","","","","","","2084","key","m","m","16.6859819277108","798","448.5","2","1","1","1","1","true","",""
"","psychophysics","13","135841","0.0-2.0-1.3","btm","[""L""]","","","","","","null","key","null","null","16.68660000000042","798","448.5","2","1","1","1","1","","",""
"","psychophysics","14","136850","0.0-2.0-2.3-0.3","btm","[""L""]","","","","","","null","key","null","null","16.68618644067773","798","448.5","2","1","1","1","1","","",""
"","psychophysics","15","139996","0.0-2.0-0.4","btm","[""L""]","","","","","","2442","key","m","m","16.685952127659586","798","448.5","1","0","0","1","0","false","",""
"","psychophysics","16","141004","0.0-2.0-1.4","btm","[""L""]","","","","","","null","key","null","null","16.685050847457713","798","448.5","1","0","0","1","0","","",""
"","psychophysics","17","142016","0.0-2.0-3.4-0.4","btm","[""L""]","","","","","","null","key","null","null","16.68693333333358","798","448.5","1","0","0","1","0","","",""
"","psychophysics","18","144372","0.0-2.0-0.5","btm","[""L""]","","","","","","1653","key","m","m","16.686407142857206","798","448.5","2","0","1","1","0","true","",""
"","psychophysics","19","145379","0.0-2.0-1.5","btm","[""L""]","","","","","","null","key","null","null","16.686983050847076","798","448.5","2","0","1","1","0","","",""
"","psychophysics","20","146389","0.0-2.0-2.5-0.5","btm","[""L""]","","","","","","null","key","null","null","16.686566666666476","798","448.5","2","0","1","1","0","","",""
"","psychophysics","21","148884","0.0-2.0-0.6","btm","[""L""]","","","","","","1791","key","z","z","16.686128378378516","798","448.5","1","0","1","1","1","true","",""
"","psychophysics","22","149892","0.0-2.0-1.6","btm","[""L""]","","","","","","null","key","null","null","16.68646666666658","798","448.5","1","0","1","1","1","","",""
"","psychophysics","23","150901","0.0-2.0-2.6-0.6","btm","[""L""]","","","","","","null","key","null","null","16.684508474576248","798","448.5","1","0","1","1","1","","",""
"","psychophysics","24","152700","0.0-2.0-0.7","btm","[""L""]","","","","","","1095","key","z","z","16.686644859812994","798","448.5","1","1","0","1","1","true","",""
"","psychophysics","25","153711","0.0-2.0-1.7","btm","[""L""]","","","","","","null","key","null","null","16.68676666666676","798","448.5","1","1","0","1","1","","",""
"","psychophysics","26","154720","0.0-2.0-2.7-0.7","btm","[""L""]","","","","","","null","key","null","null","16.685644067796755","798","448.5","1","1","0","1","1","","",""
"","psychophysics","27","156949","0.0-2.0-0.8","btm","[""L""]","","","","","","1525","key","m","m","16.686052631578914","798","448.5","1","0","1","0","1","false","",""
