"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2010","0.0-0.0-0.0","bsp","[""R""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2016","0.0-0.0-1.0","bsp","[""R""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","55491","0.0-1.0","bsp","[""R""]","","","","","[{""page_index"":0,""viewing_time"":24514},{""page_index"":1,""viewing_time"":10512},{""page_index"":2,""viewing_time"":18448}]","53474","","","","","","","","","","","","","",""
"","psychophysics","3","56396","0.0-2.0-0.0","bsp","[""R""]","","","","","","192","key","z","z","16.686870370370375","740.5","416.5","2","0","1","1","1","false","",""
"","psychophysics","4","57407","0.0-2.0-1.0","bsp","[""R""]","","","","","","null","key","null","null","16.686813559321987","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","5","58417","0.0-2.0-3.0-0.0","bsp","[""R""]","","","","","","null","key","null","null","16.68638333333329","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","6","61852","0.0-2.0-0.1","bsp","[""R""]","","","","","","2730","key","z","z","16.685873170731703","740.5","416.5","2","1","1","0","0","false","",""
"","psychophysics","7","62860","0.0-2.0-1.1","bsp","[""R""]","","","","","","null","key","null","null","16.686000000000032","740.5","416.5","2","1","1","0","0","","",""
"","psychophysics","8","63871","0.0-2.0-3.1-0.1","bsp","[""R""]","","","","","","null","key","null","null","16.686149999999905","740.5","416.5","2","1","1","0","0","","",""
"","psychophysics","9","68190","0.0-2.0-0.2","bsp","[""R""]","","","","","","3615","key","m","m","16.68608139534883","740.5","416.5","2","0","0","1","0","true","",""
"","psychophysics","10","69199","0.0-2.0-1.2","bsp","[""R""]","","","","","","null","key","null","null","16.68722033898284","740.5","416.5","2","0","0","1","0","","",""
"","psychophysics","11","70209","0.0-2.0-2.2-0.2","bsp","[""R""]","","","","","","null","key","null","null","16.68598333333333","740.5","416.5","2","0","0","1","0","","",""
"","psychophysics","12","75245","0.0-2.0-0.3","bsp","[""R""]","","","","","","4330","key","z","z","16.685876666666687","740.5","416.5","2","1","0","0","0","false","",""
"","psychophysics","13","76252","0.0-2.0-1.3","bsp","[""R""]","","","","","","null","key","null","null","16.68665000000013","740.5","416.5","2","1","0","0","0","","",""
"","psychophysics","14","77263","0.0-2.0-3.3-0.3","bsp","[""R""]","","","","","","null","key","null","null","16.68669491525423","740.5","416.5","2","1","0","0","0","","",""
"","psychophysics","15","80539","0.0-2.0-0.4","bsp","[""R""]","","","","","","2572","key","m","m","16.68587755102041","740.5","416.5","1","0","0","0","0","false","",""
"","psychophysics","16","81547","0.0-2.0-1.4","bsp","[""R""]","","","","","","null","key","null","null","16.685067796610074","740.5","416.5","1","0","0","0","0","","",""
"","psychophysics","17","82559","0.0-2.0-3.4-0.4","bsp","[""R""]","","","","","","null","key","null","null","16.68748333333327","740.5","416.5","1","0","0","0","0","","",""
"","psychophysics","18","85772","0.0-2.0-0.5","bsp","[""R""]","","","","","","2508","key","m","m","16.68603664921464","740.5","416.5","2","0","0","1","0","true","",""
"","psychophysics","19","86780","0.0-2.0-1.5","bsp","[""R""]","","","","","","null","key","null","null","16.687299999999958","740.5","416.5","2","0","0","1","0","","",""
"","psychophysics","20","87788","0.0-2.0-2.5-0.5","bsp","[""R""]","","","","","","null","key","null","null","16.68510169491529","740.5","416.5","2","0","0","1","0","","",""
"","psychophysics","21","90092","0.0-2.0-0.6","bsp","[""R""]","","","","","","1600","key","z","z","16.686481751824783","740.5","416.5","2","0","0","1","1","false","",""
"","psychophysics","22","91100","0.0-2.0-1.6","bsp","[""R""]","","","","","","null","key","null","null","16.687049999999967","740.5","416.5","2","0","0","1","1","","",""
"","psychophysics","23","92108","0.0-2.0-3.6-0.6","bsp","[""R""]","","","","","","null","key","null","null","16.686915254237384","740.5","416.5","2","0","0","1","1","","",""
"","psychophysics","24","96332","0.0-2.0-0.7","bsp","[""R""]","","","","","","3520","key","m","m","16.68619047619047","740.5","416.5","2","0","1","1","0","true","",""
"","psychophysics","25","97339","0.0-2.0-1.7","bsp","[""R""]","","","","","","null","key","null","null","16.68726666666674","740.5","416.5","2","0","1","1","0","","",""
"","psychophysics","26","98347","0.0-2.0-2.7-0.7","bsp","[""R""]","","","","","","null","key","null","null","16.685864406779668","740.5","416.5","2","0","1","1","0","","",""
"","psychophysics","27","102683","0.0-2.0-0.8","bsp","[""R""]","","","","","","3632","key","z","z","16.686100386100374","740.5","416.5","1","1","0","0","0","true","",""
"","psychophysics","28","103693","0.0-2.0-1.8","bsp","[""R""]","","","","","","null","key","null","null","16.687694915254124","740.5","416.5","1","1","0","0","0","","",""
"","psychophysics","29","104702","0.0-2.0-2.8-0.8","bsp","[""R""]","","","","","","null","key","null","null","16.68525000000009","740.5","416.5","1","1","0","0","0","","",""
"","psychophysics","30","107724","0.0-2.0-0.9","bsp","[""R""]","","","","","","2318","key","z","z","16.685950000000027","740.5","416.5","2","1","0","1","1","false","",""
"","psychophysics","31","108731","0.0-2.0-1.9","bsp","[""R""]","","","","","","null","key","null","null","16.68706779661036","740.5","416.5","2","1","0","1","1","","",""
"","psychophysics","32","109740","0.0-2.0-3.9-0.9","bsp","[""R""]","","","","","","null","key","null","null","16.686633333333155","740.5","416.5","2","1","0","1","1","","",""
"","psychophysics","33","114828","0.0-2.0-0.10","bsp","[""R""]","","","","","","4383","key","z","z","16.685940789473676","740.5","416.5","1","1","0","1","1","true","",""
