"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2443","0.0-0.0-0.0","pj7","[""R""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2448","0.0-0.0-1.0","pj7","[""R""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","195108","0.0-1.0","pj7","[""R""]","","","","","[{""page_index"":0,""viewing_time"":145946},{""page_index"":1,""viewing_time"":26144},{""page_index"":2,""viewing_time"":20568}]","192658","","","","","","","","","","","","","",""
"","psychophysics","3","200632","0.0-2.0-0.0","pj7","[""R""]","","","","","","4819","key","z","z","16.73620909090916","740.5","416.5","2","1","0","0","1","false","",""
"","psychophysics","4","201640","0.0-2.0-1.0","pj7","[""R""]","","","","","","null","key","null","null","16.68709999999992","740.5","416.5","2","1","0","0","1","","",""
"","psychophysics","5","202649","0.0-2.0-3.0-0.0","pj7","[""R""]","","","","","","null","key","null","null","16.68620338983009","740.5","416.5","2","1","0","0","1","","",""
"","psychophysics","6","215477","0.0-2.0-0.1","pj7","[""R""]","","","","","","12117","key","m","m","16.685916666666646","740.5","416.5","2","0","0","0","1","true","",""
"","psychophysics","7","216485","0.0-2.0-1.1","pj7","[""R""]","","","","","","null","key","null","null","16.686305084745737","740.5","416.5","2","0","0","0","1","","",""
"","psychophysics","8","217504","0.0-2.0-2.1-0.1","pj7","[""R""]","","","","","","null","key","null","null","16.685333333333254","740.5","416.5","2","0","0","0","1","","",""
"","psychophysics","9","237604","0.0-2.0-0.2","pj7","[""R""]","","","","","","19395","key","m","m","16.6859526578073","740.5","416.5","1","1","0","0","1","false","",""
"","psychophysics","10","238616","0.0-2.0-1.2","pj7","[""R""]","","","","","","null","key","null","null","16.68716666666684","740.5","416.5","1","1","0","0","1","","",""
"","psychophysics","11","239625","0.0-2.0-3.2-0.2","pj7","[""R""]","","","","","","null","key","null","null","16.687576271186117","740.5","416.5","1","1","0","0","1","","",""
"","psychophysics","12","244116","0.0-2.0-0.3","pj7","[""R""]","","","","","","3787","key","m","m","16.686160447761207","740.5","416.5","2","0","1","1","1","true","",""
"","psychophysics","13","245124","0.0-2.0-1.3","pj7","[""R""]","","","","","","null","key","null","null","16.68670000000032","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","14","246132","0.0-2.0-2.3-0.3","pj7","[""R""]","","","","","","null","key","null","null","16.68708474576272","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","15","249220","0.0-2.0-0.4","pj7","[""R""]","","","","","","2384","key","m","m","16.686211956521774","740.5","416.5","1","1","1","1","1","false","",""
"","psychophysics","16","250229","0.0-2.0-1.4","pj7","[""R""]","","","","","","null","key","null","null","16.687049999999967","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","17","251238","0.0-2.0-3.4-0.4","pj7","[""R""]","","","","","","null","key","null","null","16.686101694915433","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","18","256854","0.0-2.0-0.5","pj7","[""R""]","","","","","","4912","key","z","z","16.686029761904745","740.5","416.5","1","1","1","0","1","true","",""
"","psychophysics","19","257861","0.0-2.0-1.5","pj7","[""R""]","","","","","","null","key","null","null","16.68699999999993","740.5","416.5","1","1","1","0","1","","",""
"","psychophysics","20","258872","0.0-2.0-2.5-0.5","pj7","[""R""]","","","","","","null","key","null","null","16.686733333333784","740.5","416.5","1","1","1","0","1","","",""
"","psychophysics","21","265492","0.0-2.0-0.6","pj7","[""R""]","","","","","","5916","key","m","m","16.68590126582274","740.5","416.5","2","0","1","1","1","true","",""
"","psychophysics","22","266500","0.0-2.0-1.6","pj7","[""R""]","","","","","","null","key","null","null","16.687366666666154","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","23","267509","0.0-2.0-2.6-0.6","pj7","[""R""]","","","","","","null","key","null","null","16.686779661017265","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","24","272964","0.0-2.0-0.7","pj7","[""R""]","","","","","","4747","key","m","m","16.68590184049077","740.5","416.5","1","1","1","0","1","false","",""
"","psychophysics","25","273973","0.0-2.0-1.7","pj7","[""R""]","","","","","","null","key","null","null","16.687149999999868","740.5","416.5","1","1","1","0","1","","",""
"","psychophysics","26","274981","0.0-2.0-3.7-0.7","pj7","[""R""]","","","","","","null","key","null","null","16.685762711863774","740.5","416.5","1","1","1","0","1","","",""
"","psychophysics","27","284548","0.0-2.0-0.8","pj7","[""R""]","","","","","","8863","key","m","m","16.68598601398605","740.5","416.5","2","1","1","0","1","true","",""
"","psychophysics","28","285556","0.0-2.0-1.8","pj7","[""R""]","","","","","","null","key","null","null","16.68695000000007","740.5","416.5","2","1","1","0","1","","",""
"","psychophysics","29","286564","0.0-2.0-2.8-0.8","pj7","[""R""]","","","","","","null","key","null","null","16.686694915254474","740.5","416.5","2","1","1","0","1","","",""
"","psychophysics","30","293124","0.0-2.0-0.9","pj7","[""R""]","","","","","","5852","key","z","z","16.685964285714252","740.5","416.5","1","1","1","1","1","true","",""
"","psychophysics","31","294132","0.0-2.0-1.9","pj7","[""R""]","","","","","","null","key","null","null","16.687083333333916","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","32","295141","0.0-2.0-2.9-0.9","pj7","[""R""]","","","","","","null","key","null","null","16.685101694915783","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","33","299844","0.0-2.0-0.10","pj7","[""R""]","","","","","","3995","key","z","z","16.686128113878887","740.5","416.5","1","1","1","1","1","true","",""
"","psychophysics","34","300854","0.0-2.0-1.10","pj7","[""R""]","","","","","","null","key","null","null","16.68693333333358","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","35","301862","0.0-2.0-2.10-0.10","pj7","[""R""]","","","","","","null","key","null","null","16.687491525423326","740.5","416.5","1","1","1","1","1","","",""
"","psychophysics","36","310199","0.0-2.0-0.11","pj7","[""R""]","","","","","","7633","key","m","m","16.685985971943946","740.5","416.5","2","0","1","1","1","true","",""
"","psychophysics","37","311207","0.0-2.0-1.11","pj7","[""R""]","","","","","","null","key","null","null","16.686542372881252","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","38","312217","0.0-2.0-2.11-0.11","pj7","[""R""]","","","","","","null","key","null","null","16.686616666666428","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","39","314837","0.0-2.0-0.12","pj7","[""R""]","","","","","","1916","key","m","m","16.686141025641028","740.5","416.5","2","1","0","1","1","true","",""
"","psychophysics","40","315845","0.0-2.0-1.12","pj7","[""R""]","","","","","","null","key","null","null","16.685372881356518","740.5","416.5","2","1","0","1","1","","",""
"","psychophysics","41","316855","0.0-2.0-2.12-0.12","pj7","[""R""]","","","","","","null","key","null","null","16.687150000000837","740.5","416.5","2","1","0","1","1","","",""
"","psychophysics","42","319876","0.0-2.0-0.13","pj7","[""R""]","","","","","","2317","key","z","z","16.685927777777803","740.5","416.5","2","1","0","0","0","false","",""
"","psychophysics","43","320883","0.0-2.0-1.13","pj7","[""R""]","","","","","","null","key","null","null","16.685966101695065","740.5","416.5","2","1","0","0","0","","",""
"","psychophysics","44","321895","0.0-2.0-3.13-0.13","pj7","[""R""]","","","","","","null","key","null","null","16.687016666666022","740.5","416.5","2","1","0","0","0","","",""
"","psychophysics","45","325716","0.0-2.0-0.14","pj7","[""R""]","","","","","","3118","key","m","m","16.685942982456222","740.5","416.5","2","0","1","1","1","true","",""
"","psychophysics","46","326723","0.0-2.0-1.14","pj7","[""R""]","","","","","","null","key","null","null","16.68622033898245","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","47","327734","0.0-2.0-2.14-0.14","pj7","[""R""]","","","","","","null","key","null","null","16.686900000000605","740.5","416.5","2","0","1","1","1","","",""
"","psychophysics","48","335410","0.0-2.0-0.15","pj7","[""R""]","","","","","","6973","key","z","z","16.685784313725414","740.5","416.5","2","1","0","1","0","false","",""
"","psychophysics","49","336417","0.0-2.0-1.15","pj7","[""R""]","","","","","","null","key","null","null","16.68549152542403","740.5","416.5","2","1","0","1","0","","",""
"","psychophysics","50","337428","0.0-2.0-3.15-0.15","pj7","[""R""]","","","","","","null","key","null","null","16.686999999999536","740.5","416.5","2","1","0","1","0","","",""
"","psychophysics","51","340899","0.0-2.0-0.16","pj7","[""R""]","","","","","","2768","key","z","z","16.685526570048214","740.5","416.5","1","0","0","1","0","true","",""
"","psychophysics","52","341906","0.0-2.0-1.16","pj7","[""R""]","","","","","","null","key","null","null","16.68550847457639","740.5","416.5","1","0","0","1","0","","",""
"","psychophysics","53","342918","0.0-2.0-2.16-0.16","pj7","[""R""]","","","","","","null","key","null","null","16.68743333333405","740.5","416.5","1","0","0","1","0","","",""
"","psychophysics","54","345042","0.0-2.0-0.17","pj7","[""R""]","","","","","","1421","key","m","m","16.68576984126989","740.5","416.5","1","0","0","1","0","false","",""
"","psychophysics","55","346050","0.0-2.0-1.17","pj7","[""R""]","","","","","","null","key","null","null","16.687508474576674","740.5","416.5","1","0","0","1","0","","",""
"","psychophysics","56","347060","0.0-2.0-3.17-0.17","pj7","[""R""]","","","","","","null","key","null","null","16.68686666666666","740.5","416.5","1","0","0","1","0","","",""
"","psychophysics","57","349894","0.0-2.0-0.18","pj7","[""R""]","","","","","","2130","key","z","z","16.685946745562404","740.5","416.5","2","0","1","1","0","false","",""
"","psychophysics","58","350901","0.0-2.0-1.18","pj7","[""R""]","","","","","","null","key","null","null","16.687423728813883","740.5","416.5","2","0","1","1","0","","",""
"","psychophysics","59","351912","0.0-2.0-3.18-0.18","pj7","[""R""]","","","","","","null","key","null","null","16.68695000000007","740.5","416.5","2","0","1","1","0","","",""
"","psychophysics","60","355717","0.0-2.0-0.19","pj7","[""R""]","","","","","","3101","key","z","z","16.685942731277674","740.5","416.5","1","0","0","1","1","true","",""
"","psychophysics","61","356723","0.0-2.0-1.19","pj7","[""R""]","","","","","","null","key","null","null","16.685898305084635","740.5","416.5","1","0","0","1","1","","",""
"","psychophysics","62","357735","0.0-2.0-2.19-0.19","pj7","[""R""]","","","","","","null","key","null","null","16.686999999999536","740.5","416.5","1","0","0","1","1","","",""
