"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","92313","0.0-0.0-0.0","ynb","[""R""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","92316","0.0-0.0-1.0","ynb","[""R""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","134560","0.0-1.0","ynb","[""R""]","","","","","[{""page_index"":0,""viewing_time"":2859},{""page_index"":1,""viewing_time"":14908},{""page_index"":2,""viewing_time"":24474}]","42245","","","","","","","","","","","","","",""
"","psychophysics","3","139729","0.0-2.0-0.0","ynb","[""R""]","","","","","","4447","key","m","m","16.872712418300615","684","384.75","1","1","0","1","0","false","",""
"","psychophysics","4","140736","0.0-2.0-1.0","ynb","[""R""]","","","","","","null","key","null","null","16.654999999999806","684","384.75","1","1","0","1","0","","",""
"","psychophysics","5","141747","0.0-2.0-3.0-0.0","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000292","684","384.75","1","1","0","1","0","","",""
"","psychophysics","6","145334","0.0-2.0-0.1","ynb","[""R""]","","","","","","2882","key","m","m","16.65676168224295","684","384.75","1","1","1","1","1","false","",""
"","psychophysics","7","146340","0.0-2.0-1.1","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000317","684","384.75","1","1","1","1","1","","",""
"","psychophysics","8","147348","0.0-2.0-3.1-0.1","ynb","[""R""]","","","","","","null","key","null","null","16.654999999999806","684","384.75","1","1","1","1","1","","",""
"","psychophysics","9","149286","0.0-2.0-0.2","ynb","[""R""]","","","","","","1234","key","z","z","16.6550000000001","684","384.75","1","1","0","1","1","true","",""
"","psychophysics","10","150292","0.0-2.0-1.2","ynb","[""R""]","","","","","","null","key","null","null","16.654999999999806","684","384.75","1","1","0","1","1","","",""
"","psychophysics","11","151304","0.0-2.0-2.2-0.2","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000317","684","384.75","1","1","0","1","1","","",""
"","psychophysics","12","154666","0.0-2.0-0.3","ynb","[""R""]","","","","","","2656","key","m","m","16.65687064676611","684","384.75","1","0","0","0","0","false","",""
"","psychophysics","13","155673","0.0-2.0-1.3","ynb","[""R""]","","","","","","null","key","null","null","16.654999999999806","684","384.75","1","0","0","0","0","","",""
"","psychophysics","14","156680","0.0-2.0-3.3-0.3","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000317","684","384.75","1","0","0","0","0","","",""
"","psychophysics","15","158882","0.0-2.0-0.4","ynb","[""R""]","","","","","","1498","key","z","z","16.654999999999948","684","384.75","1","1","1","0","1","true","",""
"","psychophysics","16","159890","0.0-2.0-1.4","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000292","684","384.75","1","1","1","0","1","","",""
"","psychophysics","17","160897","0.0-2.0-2.4-0.4","ynb","[""R""]","","","","","","null","key","null","null","17.239385964912096","684","384.75","1","1","1","0","1","","",""
"","psychophysics","18","163642","0.0-2.0-0.5","ynb","[""R""]","","","","","","2039","key","z","z","16.65500000000008","684","384.75","2","1","0","1","1","false","",""
"","psychophysics","19","164649","0.0-2.0-1.5","ynb","[""R""]","","","","","","null","key","null","null","16.661266666666293","684","384.75","2","1","0","1","1","","",""
"","psychophysics","20","165655","0.0-2.0-3.5-0.5","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000317","684","384.75","2","1","0","1","1","","",""
"","psychophysics","21","167080","0.0-2.0-0.6","ynb","[""R""]","","","","","","722","key","m","m","16.654999999999863","684","384.75","1","1","1","1","1","false","",""
"","psychophysics","22","168100","0.0-2.0-1.6","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000292","684","384.75","1","1","1","1","1","","",""
"","psychophysics","23","169108","0.0-2.0-3.6-0.6","ynb","[""R""]","","","","","","null","key","null","null","17.239385964912096","684","384.75","1","1","1","1","1","","",""
"","psychophysics","24","170421","0.0-2.0-0.7","ynb","[""R""]","","","","","","610","key","z","z","16.654999999999955","684","384.75","2","1","0","1","1","false","",""
"","psychophysics","25","171429","0.0-2.0-1.7","ynb","[""R""]","","","","","","null","key","null","null","16.655000000000292","684","384.75","2","1","0","1","1","","",""
"","psychophysics","26","172435","0.0-2.0-3.7-0.7","ynb","[""R""]","","","","","","null","key","null","null","17.547232142856956","684","384.75","2","1","0","1","1","","",""
"","psychophysics","27","173303","0.0-2.0-0.8","ynb","[""R""]","","","","","","160","key","m","m","16.654999999999976","684","384.75","1","0","0","1","0","false","",""
"","psychophysics","28","174312","0.0-2.0-1.8","ynb","[""R""]","","","","","","null","key","null","null","16.66126666666678","684","384.75","1","0","0","1","0","","",""
"","psychophysics","29","175327","0.0-2.0-3.8-0.8","ynb","[""R""]","","","","","","null","key","null","null","16.654999999999806","684","384.75","1","0","0","1","0","","",""
"","psychophysics","30","176495","0.0-2.0-0.9","ynb","[""R""]","","","","","","465","key","z","z","16.6550000000001","684","384.75","2","1","0","1","1","false","",""
