"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","353269","0.0-0.0-0.0","aea","[""R""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","353273","0.0-0.0-1.0","aea","[""R""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","433778","0.0-1.0","aea","[""R""]","","","","","[{""page_index"":0,""viewing_time"":31247},{""page_index"":1,""viewing_time"":20664},{""page_index"":2,""viewing_time"":28592}]","80503","","","","","","","","","","","","","",""
"","psychophysics","3","440192","0.0-2.0-0.0","aea","[""R""]","","","","","","5708","key","z","z","16.71539843749997","912","513","1","0","0","0","0","true","",""
"","psychophysics","4","441205","0.0-2.0-1.0","aea","[""R""]","","","","","","null","key","null","null","16.672649999999944","912","513","1","0","0","0","0","","",""
"","psychophysics","5","442216","0.0-2.0-2.0-0.0","aea","[""R""]","","","","","","null","key","null","null","16.67272881355918","912","513","1","0","0","0","0","","",""
"","psychophysics","6","451431","0.0-2.0-0.1","aea","[""R""]","","","","","","8508","key","z","z","16.671748188405786","912","513","1","0","1","1","1","true","",""
"","psychophysics","7","452439","0.0-2.0-1.1","aea","[""R""]","","","","","","null","key","null","null","16.673000000000076","912","513","1","0","1","1","1","","",""
"","psychophysics","8","453453","0.0-2.0-2.1-0.1","aea","[""R""]","","","","","","null","key","null","null","16.67279661016961","912","513","1","0","1","1","1","","",""
"","psychophysics","9","461143","0.0-2.0-0.2","aea","[""R""]","","","","","","6977","key","m","m","16.67178958785251","912","513","2","1","1","1","0","true","",""
"","psychophysics","10","462155","0.0-2.0-1.2","aea","[""R""]","","","","","","null","key","null","null","16.671864406778912","912","513","2","1","1","1","0","","",""
"","psychophysics","11","463176","0.0-2.0-2.2-0.2","aea","[""R""]","","","","","","null","key","null","null","16.67280000000028","912","513","2","1","1","1","0","","",""
"","psychophysics","12","474630","0.0-2.0-0.3","aea","[""R""]","","","","","","10745","key","m","m","16.66654002911208","912","513","1","0","1","1","0","false","",""
"","psychophysics","13","475642","0.0-2.0-1.3","aea","[""R""]","","","","","","null","key","null","null","16.670033898305196","912","513","1","0","1","1","0","","",""
"","psychophysics","14","476646","0.0-2.0-3.3-0.3","aea","[""R""]","","","","","","null","key","null","null","16.67400000000004","912","513","1","0","1","1","0","","",""
"","psychophysics","15","482974","0.0-2.0-0.4","aea","[""R""]","","","","","","5617","key","z","z","16.716018567639292","912","513","2","0","0","1","1","false","",""
"","psychophysics","16","483988","0.0-2.0-1.4","aea","[""R""]","","","","","","null","key","null","null","16.67269999999941","912","513","2","0","0","1","1","","",""
"","psychophysics","17","484999","0.0-2.0-3.4-0.4","aea","[""R""]","","","","","","null","key","null","null","16.672850000000714","912","513","2","0","0","1","1","","",""
"","psychophysics","18","499350","0.0-2.0-0.5","aea","[""R""]","","","","","","13641","key","m","m","16.67180325960422","912","513","2","1","0","1","1","true","",""
"","psychophysics","19","500365","0.0-2.0-1.5","aea","[""R""]","","","","","","null","key","null","null","16.672933333333155","912","513","2","1","0","1","1","","",""
"","psychophysics","20","501380","0.0-2.0-2.5-0.5","aea","[""R""]","","","","","","null","key","null","null","16.67270000000038","912","513","2","1","0","1","1","","",""
"","psychophysics","21","507902","0.0-2.0-0.6","aea","[""R""]","","","","","","5814","key","z","z","16.671976923076915","912","513","2","1","0","0","1","false","",""
"","psychophysics","22","508917","0.0-2.0-1.6","aea","[""R""]","","","","","","null","key","null","null","16.672633333333458","912","513","2","1","0","0","1","","",""
"","psychophysics","23","509932","0.0-2.0-3.6-0.6","aea","[""R""]","","","","","","null","key","null","null","16.651116666666347","912","513","2","1","0","0","1","","",""
"","psychophysics","24","517509","0.0-2.0-0.7","aea","[""R""]","","","","","","6869","key","z","z","16.671933920704888","912","513","2","0","1","1","1","false","",""
"","psychophysics","25","518522","0.0-2.0-1.7","aea","[""R""]","","","","","","null","key","null","null","16.671627118643887","912","513","2","0","1","1","1","","",""
"","psychophysics","26","519532","0.0-2.0-3.7-0.7","aea","[""R""]","","","","","","null","key","null","null","16.671649999999985","912","513","2","0","1","1","1","","",""
"","psychophysics","27","527517","0.0-2.0-0.8","aea","[""R""]","","","","","","7278","key","z","z","16.67195188284525","912","513","2","1","1","0","1","false","",""
"","psychophysics","28","528525","0.0-2.0-1.8","aea","[""R""]","","","","","","null","key","null","null","16.6725084745775","912","513","2","1","1","0","1","","",""
"","psychophysics","29","529540","0.0-2.0-3.8-0.8","aea","[""R""]","","","","","","null","key","null","null","16.671166666665037","912","513","2","1","1","0","1","","",""
"","psychophysics","30","534883","0.0-2.0-0.9","aea","[""R""]","","","","","","4636","key","m","m","16.67262812500012","912","513","2","0","0","1","0","true","",""
"","psychophysics","31","535893","0.0-2.0-1.9","aea","[""R""]","","","","","","null","key","null","null","16.671830508475175","912","513","2","0","0","1","0","","",""
"","psychophysics","32","536909","0.0-2.0-2.9-0.9","aea","[""R""]","","","","","","null","key","null","null","16.672733333332385","912","513","2","0","0","1","0","","",""
"","psychophysics","33","545953","0.0-2.0-0.10","aea","[""R""]","","","","","","8337","key","z","z","16.671898523985444","912","513","2","1","1","0","1","false","",""
"","psychophysics","34","546965","0.0-2.0-1.10","aea","[""R""]","","","","","","null","key","null","null","16.671525423728735","912","513","2","1","1","0","1","","",""
"","psychophysics","35","547982","0.0-2.0-3.10-0.10","aea","[""R""]","","","","","","null","key","null","null","16.67161666666701","912","513","2","1","1","0","1","","",""
"","psychophysics","36","552430","0.0-2.0-0.11","aea","[""R""]","","","","","","3744","key","z","z","16.671834586466105","912","513","1","0","0","0","1","true","",""
"","psychophysics","37","553445","0.0-2.0-1.11","aea","[""R""]","","","","","","null","key","null","null","16.67298333333262","912","513","1","0","0","0","1","","",""
"","psychophysics","38","554461","0.0-2.0-2.11-0.11","aea","[""R""]","","","","","","null","key","null","null","16.67280000000028","912","513","1","0","0","0","1","","",""
"","psychophysics","39","560942","0.0-2.0-0.12","aea","[""R""]","","","","","","5774","key","z","z","16.671958762886526","912","513","2","1","0","0","1","false","",""
"","psychophysics","40","561953","0.0-2.0-1.12","aea","[""R""]","","","","","","null","key","null","null","16.672881355933388","912","513","2","1","0","0","1","","",""
"","psychophysics","41","562965","0.0-2.0-3.12-0.12","aea","[""R""]","","","","","","null","key","null","null","16.671816666666807","912","513","2","1","0","0","1","","",""
"","psychophysics","42","568838","0.0-2.0-0.13","aea","[""R""]","","","","","","5168","key","z","z","16.671974358974392","912","513","1","0","1","0","0","true","",""
"","psychophysics","43","569853","0.0-2.0-1.13","aea","[""R""]","","","","","","null","key","null","null","16.672850000000714","912","513","1","0","1","0","0","","",""
"","psychophysics","44","570869","0.0-2.0-2.13-0.13","aea","[""R""]","","","","","","null","key","null","null","16.672749999999844","912","513","1","0","1","0","0","","",""
"","psychophysics","45","575718","0.0-2.0-0.14","aea","[""R""]","","","","","","4142","key","m","m","16.67197586206904","912","513","1","0","0","1","0","false","",""
"","psychophysics","46","576727","0.0-2.0-1.14","aea","[""R""]","","","","","","null","key","null","null","16.67286666666623","912","513","1","0","0","1","0","","",""
"","psychophysics","47","577745","0.0-2.0-3.14-0.14","aea","[""R""]","","","","","","null","key","null","null","16.672633333333458","912","513","1","0","0","1","0","","",""
"","psychophysics","48","587999","0.0-2.0-0.15","aea","[""R""]","","","","","","9545","key","m","m","16.671913680781653","912","513","2","0","1","1","1","true","",""
"","psychophysics","49","589011","0.0-2.0-1.15","aea","[""R""]","","","","","","null","key","null","null","16.958999999999552","912","513","2","0","1","1","1","","",""
"","psychophysics","50","590021","0.0-2.0-2.15-0.15","aea","[""R""]","","","","","","null","key","null","null","16.671699999998477","912","513","2","0","1","1","1","","",""
"","psychophysics","51","596951","0.0-2.0-0.16","aea","[""R""]","","","","","","6223","key","z","z","16.671937349397712","912","513","1","1","1","0","1","true","",""
"","psychophysics","52","597963","0.0-2.0-1.16","aea","[""R""]","","","","","","null","key","null","null","16.671881355931273","912","513","1","1","1","0","1","","",""
"","psychophysics","53","598980","0.0-2.0-2.16-0.16","aea","[""R""]","","","","","","null","key","null","null","16.671616666665066","912","513","1","1","1","0","1","","",""
"","psychophysics","54","608045","0.0-2.0-0.17","aea","[""R""]","","","","","","8360","key","z","z","16.671823204419976","912","513","2","1","1","1","1","false","",""
"","psychophysics","55","609053","0.0-2.0-1.17","aea","[""R""]","","","","","","null","key","null","null","16.67289999999921","912","513","2","1","1","1","1","","",""
"","psychophysics","56","610067","0.0-2.0-3.17-0.17","aea","[""R""]","","","","","","null","key","null","null","16.679305084746222","912","513","2","1","1","1","1","","",""
"","psychophysics","57","617440","0.0-2.0-0.18","aea","[""R""]","","","","","","6669","key","z","z","16.671719457013626","912","513","1","0","0","0","1","true","",""
"","psychophysics","58","618453","0.0-2.0-1.18","aea","[""R""]","","","","","","null","key","null","null","16.66969491525403","912","513","1","0","0","0","1","","",""
"","psychophysics","59","619460","0.0-2.0-2.18-0.18","aea","[""R""]","","","","","","null","key","null","null","16.673950000000573","912","513","1","0","0","0","1","","",""
"","psychophysics","60","634645","0.0-2.0-0.19","aea","[""R""]","","","","","","14473","key","z","z","16.67180109890101","912","513","1","1","1","1","1","true","",""
"","psychophysics","61","635658","0.0-2.0-1.19","aea","[""R""]","","","","","","null","key","null","null","16.67284745762669","912","513","1","1","1","1","1","","",""
"","psychophysics","62","636668","0.0-2.0-2.19-0.19","aea","[""R""]","","","","","","null","key","null","null","16.67168333333296","912","513","1","1","1","1","1","","",""
"","psychophysics","63","641465","0.0-2.0-0.20","aea","[""R""]","","","","","","4093","key","m","m","16.6718641114985","912","513","2","0","1","0","1","true","",""
"","psychophysics","64","642477","0.0-2.0-1.20","aea","[""R""]","","","","","","null","key","null","null","16.671830508473203","912","513","2","0","1","0","1","","",""
"","psychophysics","65","643492","0.0-2.0-2.20-0.20","aea","[""R""]","","","","","","null","key","null","null","16.671916666667677","912","513","2","0","1","0","1","","",""
"","psychophysics","66","646725","0.0-2.0-0.21","aea","[""R""]","","","","","","2527","key","z","z","16.672103626943084","912","513","1","0","1","1","1","true","",""
"","psychophysics","67","647740","0.0-2.0-1.21","aea","[""R""]","","","","","","null","key","null","null","16.6729666666671","912","513","1","0","1","1","1","","",""
"","psychophysics","68","648756","0.0-2.0-2.21-0.21","aea","[""R""]","","","","","","null","key","null","null","16.672666666666434","912","513","1","0","1","1","1","","",""
"","psychophysics","69","655919","0.0-2.0-0.22","aea","[""R""]","","","","","","6457","key","z","z","16.671941724941806","912","513","2","1","0","1","0","false","",""
"","psychophysics","70","656932","0.0-2.0-1.22","aea","[""R""]","","","","","","null","key","null","null","16.67181355932183","912","513","2","1","0","1","0","","",""
"","psychophysics","71","657948","0.0-2.0-3.22-0.22","aea","[""R""]","","","","","","null","key","null","null","16.671816666664867","912","513","2","1","0","1","0","","",""
"","psychophysics","72","660904","0.0-2.0-0.23","aea","[""R""]","","","","","","2251","key","z","z","16.671474576270665","912","513","1","1","1","1","1","true","",""
"","psychophysics","73","661914","0.0-2.0-1.23","aea","[""R""]","","","","","","null","key","null","null","16.67242372881274","912","513","1","1","1","1","1","","",""
"","psychophysics","74","662925","0.0-2.0-2.23-0.23","aea","[""R""]","","","","","","null","key","null","null","16.955389830508757","912","513","1","1","1","1","1","","",""
"","psychophysics","75","669556","0.0-2.0-0.24","aea","[""R""]","","","","","","5923","key","z","z","16.671954659949776","912","513","2","1","1","1","0","false","",""
"","psychophysics","76","670565","0.0-2.0-1.24","aea","[""R""]","","","","","","null","key","null","null","16.671915254237966","912","513","2","1","1","1","0","","",""
"","psychophysics","77","671580","0.0-2.0-3.24-0.24","aea","[""R""]","","","","","","null","key","null","null","16.672550000000047","912","513","2","1","1","1","0","","",""
"","psychophysics","78","675158","0.0-2.0-0.25","aea","[""R""]","","","","","","2872","key","z","z","16.67210280373812","912","513","1","0","1","0","1","true","",""
"","psychophysics","79","676171","0.0-2.0-1.25","aea","[""R""]","","","","","","null","key","null","null","16.67176271186376","912","513","1","0","1","0","1","","",""
"","psychophysics","80","677181","0.0-2.0-2.25-0.25","aea","[""R""]","","","","","","null","key","null","null","16.67176666666637","912","513","1","0","1","0","1","","",""
"","psychophysics","81","682629","0.0-2.0-0.26","aea","[""R""]","","","","","","4741","key","z","z","16.672015337423105","912","513","1","0","0","0","1","true","",""
"","psychophysics","82","683637","0.0-2.0-1.26","aea","[""R""]","","","","","","null","key","null","null","16.67177966101711","912","513","1","0","0","0","1","","",""
"","psychophysics","83","684653","0.0-2.0-2.26-0.26","aea","[""R""]","","","","","","null","key","null","null","16.67278333333476","912","513","1","0","0","0","1","","",""
"","psychophysics","84","689663","0.0-2.0-0.27","aea","[""R""]","","","","","","4302","key","z","z","16.67209333333342","912","513","2","0","1","1","0","false","",""
"","psychophysics","85","690685","0.0-2.0-1.27","aea","[""R""]","","","","","","null","key","null","null","16.67280000000028","912","513","2","0","1","1","0","","",""
