"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2290","0.0-0.0-0.0","aya","[""L""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2296","0.0-0.0-1.0","aya","[""L""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","152575","0.0-1.0","aya","[""L""]","","","","","[{""page_index"":0,""viewing_time"":119950},{""page_index"":1,""viewing_time"":17024},{""page_index"":2,""viewing_time"":13304}]","150279","","","","","","","","","","","","","",""
"","psychophysics","3","155596","0.0-2.0-0.0","aya","[""L""]","","","","","","2311","key","m","m","16.687458563536033","798","448.5","2","0","1","0","1","true","",""
"","psychophysics","4","156609","0.0-2.0-1.0","aya","[""L""]","","","","","","null","key","null","null","16.686966666666557","798","448.5","2","0","1","0","1","","",""
"","psychophysics","5","157620","0.0-2.0-2.0-0.0","aya","[""L""]","","","","","","null","key","null","null","16.68571186440669","798","448.5","2","0","1","0","1","","",""
"","psychophysics","6","160460","0.0-2.0-0.1","aya","[""L""]","","","","","","2132","key","m","m","16.68617159763324","798","448.5","1","1","0","0","1","false","",""
"","psychophysics","7","161468","0.0-2.0-1.1","aya","[""L""]","","","","","","null","key","null","null","16.687383333333614","798","448.5","1","1","0","0","1","","",""
"","psychophysics","8","162482","0.0-2.0-3.1-0.1","aya","[""L""]","","","","","","null","key","null","null","16.686800000000222","798","448.5","1","1","0","0","1","","",""
"","psychophysics","9","164763","0.0-2.0-0.2","aya","[""L""]","","","","","","1577","key","m","m","16.685814814814755","798","448.5","1","1","1","0","0","false","",""
"","psychophysics","10","165772","0.0-2.0-1.2","aya","[""L""]","","","","","","null","key","null","null","16.68675000000027","798","448.5","1","1","1","0","0","","",""
"","psychophysics","11","166782","0.0-2.0-3.2-0.2","aya","[""L""]","","","","","","null","key","null","null","16.686372881356164","798","448.5","1","1","1","0","0","","",""
"","psychophysics","12","168979","0.0-2.0-0.3","aya","[""L""]","","","","","","1491","key","z","z","16.68617557251905","798","448.5","1","1","0","1","1","true","",""
"","psychophysics","13","169987","0.0-2.0-1.3","aya","[""L""]","","","","","","null","key","null","null","16.68676271186441","798","448.5","1","1","0","1","1","","",""
"","psychophysics","14","170997","0.0-2.0-2.3-0.3","aya","[""L""]","","","","","","null","key","null","null","16.685983333333084","798","448.5","1","1","0","1","1","","",""
"","psychophysics","15","174276","0.0-2.0-0.4","aya","[""L""]","","","","","","2575","key","z","z","16.686071794871868","798","448.5","2","1","0","0","1","false","",""
"","psychophysics","16","175283","0.0-2.0-1.4","aya","[""L""]","","","","","","null","key","null","null","16.68654999999999","798","448.5","2","1","0","0","1","","",""
"","psychophysics","17","176292","0.0-2.0-3.4-0.4","aya","[""L""]","","","","","","null","key","null","null","16.686644067796404","798","448.5","2","1","0","0","1","","",""
"","psychophysics","18","179259","0.0-2.0-0.5","aya","[""L""]","","","","","","2260","key","m","m","16.68632203389826","798","448.5","2","1","1","1","1","true","",""
"","psychophysics","19","180269","0.0-2.0-1.5","aya","[""L""]","","","","","","null","key","null","null","16.68645000000009","798","448.5","2","1","1","1","1","","",""
"","psychophysics","20","181279","0.0-2.0-2.5-0.5","aya","[""L""]","","","","","","null","key","null","null","16.6854237288136","798","448.5","2","1","1","1","1","","",""
"","psychophysics","21","184309","0.0-2.0-0.6","aya","[""L""]","","","","","","2326","key","m","m","16.686143646408734","798","448.5","2","0","0","1","1","true","",""
"","psychophysics","22","185316","0.0-2.0-1.6","aya","[""L""]","","","","","","null","key","null","null","16.68569491525433","798","448.5","2","0","0","1","1","","",""
"","psychophysics","23","186327","0.0-2.0-2.6-0.6","aya","[""L""]","","","","","","null","key","null","null","16.686033333333036","798","448.5","2","0","0","1","1","","",""
