"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2691","0.0-0.0-0.0","7t8","[""L""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2695","0.0-0.0-1.0","7t8","[""L""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","79790","0.0-1.0","7t8","[""L""]","","","","","[{""page_index"":0,""viewing_time"":24925},{""page_index"":1,""viewing_time"":20928},{""page_index"":2,""viewing_time"":31240}]","77093","","","","","","","","","","","","","",""
"","psychophysics","3","86045","0.0-2.0-0.0","7t8","[""L""]","","","","","","5542","key","m","m","16.716403743315503","912","513","2","1","1","1","1","true","",""
"","psychophysics","4","87058","0.0-2.0-1.0","7t8","[""L""]","","","","","","null","key","null","null","16.674033898305023","912","513","2","1","1","1","1","","",""
"","psychophysics","5","88068","0.0-2.0-2.0-0.0","7t8","[""L""]","","","","","","null","key","null","null","16.671266666666632","912","513","2","1","1","1","1","","",""
"","psychophysics","6","92235","0.0-2.0-0.1","7t8","[""L""]","","","","","","3460","key","m","m","16.672084337349407","912","513","1","0","1","0","0","false","",""
"","psychophysics","7","93243","0.0-2.0-1.1","7t8","[""L""]","","","","","","null","key","null","null","16.672033898304985","912","513","1","0","1","0","0","","",""
"","psychophysics","8","94255","0.0-2.0-3.1-0.1","7t8","[""L""]","","","","","","null","key","null","null","16.672933333333397","912","513","1","0","1","0","0","","",""
"","psychophysics","9","99690","0.0-2.0-0.2","7t8","[""L""]","","","","","","4730","key","z","z","16.671987692307717","912","513","1","1","0","1","0","true","",""
"","psychophysics","10","100699","0.0-2.0-1.2","7t8","[""L""]","","","","","","null","key","null","null","16.673283333333288","912","513","1","1","0","1","0","","",""
