subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
9dq,1,l,true,2793,0,1,1,1,
9dq,2,l,false,5088,1,0,0,0,
9dq,3,l,true,6236,0,0,0,1,
9dq,4,l,true,5628,0,1,1,1,
9dq,5,l,false,5657,0,0,1,1,
9dq,6,l,false,2614,1,1,1,1,
9dq,7,l,false,3331,0,1,1,1,
9dq,8,l,true,2958,0,0,1,1,
9dq,9,l,true,1741,0,1,0,0,
9dq,10,l,false,1518,0,0,1,0,
9dq,11,l,false,2823,1,1,0,1,
9dq,12,l,true,1511,1,0,1,1,
9dq,13,l,false,2567,1,1,1,1,
9dq,14,l,true,7687,0,1,0,1,
9dq,15,l,false,2644,1,1,0,1,
9dq,16,l,true,2011,0,0,1,1,
9dq,17,l,true,2404,1,1,1,1,
9dq,18,l,true,4552,0,1,1,1,
9dq,19,l,true,1532,1,1,1,1,
9dq,20,l,true,1437,1,0,1,1,
9dq,21,l,true,1445,0,1,1,1,
9dq,22,l,true,1534,1,0,1,1,
9dq,23,l,true,1366,1,1,1,1,
9dq,24,l,true,1362,0,0,1,1,
9dq,25,l,true,1901,1,0,1,1,
9dq,26,l,true,1880,0,1,1,1,
9dq,27,l,false,1765,1,1,1,0,
9dq,28,l,false,2644,1,0,1,0,
9dq,29,l,false,2432,1,1,0,0,
9dq,30,l,true,3540,0,1,1,1,
9dq,31,l,true,5118,0,0,1,0,
9dq,32,l,true,4300,0,1,1,1,
9dq,33,l,true,1637,1,0,1,1,
9dq,34,l,true,1479,0,1,1,1,
9dq,35,l,false,3078,0,1,1,0,
9dq,36,l,false,2045,0,0,0,0,
9dq,37,l,true,2029,0,1,1,1,
9dq,38,l,false,2031,1,0,0,0,
9dq,39,l,false,1760,0,0,1,1,
9dq,40,l,true,1967,1,0,1,1,
9dq,41,l,true,1508,0,1,1,1,
9dq,42,l,true,4463,0,1,1,1,
9dq,43,l,false,4373,1,0,0,1,
9dq,44,l,true,2311,0,0,1,1,
9dq,45,l,true,2879,1,0,1,1,
9dq,46,l,true,4536,1,1,1,1,
9dq,47,l,true,2101,0,0,1,1,
9dq,48,l,false,3660,1,0,0,0,
