"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2487","0.0-0.0-0.0","afa","[""l""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2493","0.0-0.0-1.0","afa","[""l""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","179797","0.0-1.0","afa","[""l""]","","","","","[{""page_index"":0,""viewing_time"":139083},{""page_index"":1,""viewing_time"":16793},{""page_index"":2,""viewing_time"":21424}]","177301","","","","","","","","","","","","","",""
"","psychophysics","3","184813","0.0-2.0-0.0","afa","[""l""]","","","","","","4298","key","z","z","16.752638795986588","912","513","2","0","0","1","0","false","",""
"","psychophysics","4","185823","0.0-2.0-1.0","afa","[""l""]","","","","","","null","key","null","null","16.67275000000033","912","513","2","0","0","1","0","","",""
"","psychophysics","5","186835","0.0-2.0-3.0-0.0","afa","[""l""]","","","","","","null","key","null","null","16.672983333333104","912","513","2","0","0","1","0","","",""
"","psychophysics","6","190562","0.0-2.0-0.1","afa","[""l""]","","","","","","3021","key","m","m","16.67187837837841","912","513","2","1","1","1","1","true","",""
"","psychophysics","7","191571","0.0-2.0-1.1","afa","[""l""]","","","","","","null","key","null","null","16.672849999999745","912","513","2","1","1","1","1","","",""
"","psychophysics","8","192582","0.0-2.0-2.1-0.1","afa","[""l""]","","","","","","null","key","null","null","16.67198305084741","912","513","2","1","1","1","1","","",""
"","psychophysics","9","195106","0.0-2.0-0.2","afa","[""l""]","","","","","","1817","key","z","z","16.672245033112716","912","513","1","1","0","1","1","true","",""
"","psychophysics","10","196114","0.0-2.0-1.2","afa","[""l""]","","","","","","null","key","null","null","16.67262711864403","912","513","1","1","0","1","1","","",""
"","psychophysics","11","197124","0.0-2.0-2.2-0.2","afa","[""l""]","","","","","","null","key","null","null","16.672550000000047","912","513","1","1","0","1","1","","",""
"","psychophysics","12","201158","0.0-2.0-0.3","afa","[""l""]","","","","","","3330","key","z","z","16.67184647302908","912","513","1","0","0","1","0","true","",""
"","psychophysics","13","202166","0.0-2.0-1.3","afa","[""l""]","","","","","","null","key","null","null","16.67205084745784","912","513","1","0","0","1","0","","",""
"","psychophysics","14","203177","0.0-2.0-2.3-0.3","afa","[""l""]","","","","","","null","key","null","null","16.67258333333351","912","513","1","0","0","1","0","","",""
"","psychophysics","15","205339","0.0-2.0-0.4","afa","[""l""]","","","","","","1457","key","z","z","16.671695312500106","912","513","1","0","1","1","1","true","",""
"","psychophysics","16","206347","0.0-2.0-1.4","afa","[""l""]","","","","","","null","key","null","null","16.672883333333207","912","513","1","0","1","1","1","","",""
"","psychophysics","17","207359","0.0-2.0-2.4-0.4","afa","[""l""]","","","","","","null","key","null","null","16.67216666666694","912","513","1","0","1","1","1","","",""
"","psychophysics","18","212066","0.0-2.0-0.5","afa","[""l""]","","","","","","4004","key","z","z","16.671818505338035","912","513","2","1","1","0","1","false","",""
"","psychophysics","19","213077","0.0-2.0-1.5","afa","[""l""]","","","","","","null","key","null","null","16.672850000000228","912","513","2","1","1","0","1","","",""
