"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2374","0.0-0.0-0.0","kxp","[""l""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2376","0.0-0.0-1.0","kxp","[""l""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","5151","0.0-1.0","kxp","[""l""]","","","","","[{""page_index"":0,""viewing_time"":1140},{""page_index"":1,""viewing_time"":794},{""page_index"":2,""viewing_time"":839}]","2774","","","","","","","","","","","","","",""
"","psychophysics","3","5157","0.0-2.0-0.0","kxp","[""l""]","","","","","","null","key","null","null","6.951000000000022","912","513","2","0","0","0","1","null","",""
"","psychophysics","4","5162","0.0-2.0-1.0","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","0","1","","",""
"","psychophysics","5","5189","0.0-2.0-3.0-0.0","kxp","[""l""]","","","","","","null","key","null","null","20.822000000000116","912","513","2","0","0","0","1","","",""
"","psychophysics","6","5194","0.0-2.0-0.1","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","1","1","0","1","0","null","",""
"","psychophysics","7","5200","0.0-2.0-1.1","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","1","1","0","1","0","","",""
"","psychophysics","8","5208","0.0-2.0-3.1-0.1","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","1","1","0","1","0","","",""
"","psychophysics","9","5214","0.0-2.0-0.2","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","1","1","1","1","null","",""
"","psychophysics","10","5220","0.0-2.0-1.2","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","1","1","1","1","","",""
"","psychophysics","11","5233","0.0-2.0-3.2-0.2","kxp","[""l""]","","","","","","null","key","null","null","6.943000000000211","912","513","2","1","1","1","1","","",""
"","psychophysics","12","5239","0.0-2.0-0.3","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","0","1","null","",""
"","psychophysics","13","5245","0.0-2.0-1.3","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","0","1","","",""
"","psychophysics","14","5259","0.0-2.0-3.3-0.3","kxp","[""l""]","","","","","","null","key","null","null","6.931999999999789","912","513","2","0","0","0","1","","",""
"","psychophysics","15","5266","0.0-2.0-0.4","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","1","0","1","1","null","",""
"","psychophysics","16","5272","0.0-2.0-1.4","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","1","0","1","1","","",""
"","psychophysics","17","5278","0.0-2.0-3.4-0.4","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","1","0","1","1","","",""
"","psychophysics","18","5285","0.0-2.0-0.5","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","1","1","null","",""
"","psychophysics","19","5291","0.0-2.0-1.5","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","1","1","","",""
"","psychophysics","20","5297","0.0-2.0-3.5-0.5","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","2","0","0","1","1","","",""
"","psychophysics","21","5303","0.0-2.0-0.6","kxp","[""l""]","","","","","","null","key","null","null","NaN","912","513","1","0","1","1","1","null","",""
