subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,
kxp,1,l,null,null,0,0,0,1,
kxp,2,l,null,null,1,0,1,0,
kxp,3,l,null,null,1,1,1,1,
kxp,4,l,null,null,0,0,0,1,
kxp,5,l,null,null,1,0,1,1,
kxp,6,l,null,null,0,0,1,1,
kxp,7,l,null,null,0,1,1,1,
kxp,8,l,null,null,0,0,0,0,
kxp,9,l,null,null,0,1,1,1,
kxp,10,l,null,null,1,1,0,0,
kxp,11,l,null,null,0,0,1,1,
kxp,12,l,null,null,1,0,1,1,
kxp,13,l,null,null,1,1,1,1,
kxp,14,l,null,null,1,1,0,1,
kxp,15,l,null,null,0,0,0,1,
kxp,16,l,null,null,0,1,0,0,
kxp,17,l,null,null,1,0,1,0,
kxp,18,l,null,null,0,1,0,1,
kxp,19,l,null,null,0,1,1,1,
kxp,20,l,null,null,0,1,1,0,
kxp,21,l,null,null,1,0,1,1,
kxp,22,l,null,null,0,1,1,1,
kxp,23,l,null,null,0,0,1,1,
kxp,24,l,null,null,0,0,0,1,
kxp,25,l,null,null,1,1,1,1,
kxp,26,l,null,null,0,0,1,0,
kxp,27,l,null,null,1,0,1,1,
kxp,28,l,null,null,0,1,1,1,
kxp,29,l,null,null,0,1,0,0,
kxp,30,l,null,null,0,1,0,1,
kxp,31,l,null,null,1,0,1,1,
kxp,32,l,null,null,0,1,1,1,
kxp,33,l,null,null,0,0,1,1,
kxp,34,l,null,null,0,1,1,0,
kxp,35,l,null,null,1,0,1,0,
kxp,36,l,null,null,1,0,0,1,
kxp,37,l,null,null,0,1,1,1,
kxp,38,l,null,null,0,0,0,0,
kxp,39,l,null,null,1,0,1,1,
kxp,40,l,null,null,0,1,0,1,
kxp,41,l,null,null,1,1,1,1,
kxp,42,l,null,null,1,0,1,0,
kxp,43,l,null,null,1,0,0,1,
kxp,44,l,null,null,1,1,0,1,
kxp,45,l,null,null,1,0,0,1,
kxp,46,l,null,null,1,0,1,0,
kxp,47,l,null,null,1,0,0,1,
kxp,48,l,null,null,1,1,1,1,
kxp,49,l,null,null,1,0,1,1,
kxp,50,l,null,null,1,1,1,1,
kxp,51,l,null,null,0,1,0,1,
kxp,52,l,null,null,0,0,1,0,
kxp,53,l,null,null,0,0,1,0,
kxp,54,l,null,null,1,1,1,1,
kxp,55,l,null,null,0,1,0,1,
kxp,56,l,null,null,0,1,1,1,
kxp,57,l,null,null,0,1,0,1,
kxp,58,l,null,null,1,1,1,1,
kxp,59,l,null,null,0,1,1,1,
kxp,60,l,null,null,0,1,1,0,
kxp,61,l,null,null,1,1,1,1,
kxp,62,l,null,null,0,0,1,0,
kxp,63,l,null,null,1,1,1,1,
kxp,64,l,null,null,1,0,1,1,
kxp,65,l,null,null,1,0,0,1,
kxp,66,l,null,null,0,1,1,1,
kxp,67,l,null,null,0,1,0,1,
kxp,68,l,null,null,0,0,1,1,
kxp,69,l,null,null,0,0,0,1,
kxp,70,l,null,null,1,0,1,1,
kxp,71,l,null,null,0,0,0,0,
kxp,72,l,null,null,0,0,1,1,
kxp,73,l,null,null,1,1,1,0,
kxp,74,l,null,null,0,1,1,1,
kxp,75,l,null,null,1,0,1,1,
kxp,76,l,null,null,0,1,1,1,
kxp,77,l,null,null,0,1,1,1,
kxp,78,l,null,null,0,0,0,0,
kxp,79,l,null,null,0,0,0,1,
kxp,80,l,null,null,0,1,1,0,
kxp,81,l,null,null,0,0,1,1,
kxp,82,l,null,null,0,0,1,0,
kxp,83,l,null,null,1,1,0,0,
kxp,84,l,null,null,0,1,1,1,
kxp,85,l,null,null,0,1,1,1,
kxp,86,l,null,null,1,0,0,1,
kxp,87,l,null,null,0,1,1,1,
kxp,88,l,null,null,0,1,0,1,
kxp,89,l,null,null,1,1,1,1,
kxp,90,l,null,null,1,1,0,1,
kxp,91,l,null,null,1,1,1,1,
kxp,92,l,null,null,1,0,1,1,
kxp,93,l,null,null,0,0,1,0,
kxp,94,l,null,null,1,1,1,1,
kxp,95,l,null,null,1,1,0,1,
kxp,96,l,null,null,1,0,0,1,
kxp,97,l,null,null,0,0,1,0,
kxp,98,l,null,null,1,1,1,0,
kxp,99,l,null,null,1,0,1,1,
kxp,100,l,null,null,0,0,1,1,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
kxp,101,l,null,null,1,1,1,1,
kxp,102,l,null,null,1,0,1,0,
kxp,103,l,null,null,1,0,1,1,
kxp,104,l,null,null,1,0,1,1,
kxp,105,l,null,null,1,1,1,0,
kxp,106,l,null,null,1,1,0,1,
kxp,107,l,null,null,0,1,1,1,
kxp,108,l,null,null,1,0,1,1,
kxp,109,l,null,null,0,1,1,1,
kxp,110,l,null,null,1,0,1,1,
kxp,111,l,null,null,1,0,1,1,
kxp,112,l,null,null,0,0,1,1,
kxp,113,l,null,null,0,0,1,1,
kxp,114,l,null,null,0,1,1,1,
kxp,115,l,null,null,0,1,1,1,
kxp,116,l,null,null,1,1,1,0,
kxp,117,l,null,null,0,1,1,1,
kxp,118,l,null,null,1,0,0,1,
kxp,119,l,null,null,0,0,0,0,
kxp,120,l,null,null,0,1,0,1,
kxp,121,l,null,null,0,1,1,1,
kxp,122,l,null,null,0,1,1,1,
kxp,123,l,null,null,0,0,1,1,
kxp,124,l,null,null,0,0,1,0,
kxp,125,l,null,null,1,1,1,0,
kxp,126,l,null,null,1,0,0,0,
kxp,127,l,null,null,0,1,1,1,
kxp,128,l,null,null,0,0,1,0,
kxp,129,l,null,null,0,1,1,0,
kxp,130,l,null,null,0,1,1,1,
kxp,131,l,null,null,1,0,1,1,
kxp,132,l,null,null,0,1,1,1,
kxp,133,l,null,null,1,0,1,0,
kxp,134,l,null,null,0,1,0,1,
kxp,135,l,null,null,0,1,1,1,
kxp,136,l,null,null,0,0,1,0,
kxp,137,l,null,null,1,1,1,1,
kxp,138,l,null,null,1,1,1,1,
kxp,139,l,null,null,0,1,1,1,
kxp,140,l,null,null,1,1,1,0,
kxp,141,l,null,null,0,0,0,0,
kxp,142,l,null,null,0,0,1,1,
kxp,143,l,null,null,0,1,0,1,
kxp,144,l,null,null,0,1,1,1,
kxp,145,l,null,null,0,0,1,1,
kxp,146,l,null,null,0,0,1,1,
kxp,147,l,null,null,0,0,0,0,
kxp,148,l,null,null,1,1,1,1,
kxp,149,l,null,null,1,0,1,1,
kxp,150,l,null,null,1,1,0,1,
kxp,151,l,null,null,0,0,0,1,
kxp,152,l,null,null,0,1,0,1,
kxp,153,l,null,null,0,1,1,1,
kxp,154,l,null,null,0,1,1,0,
kxp,155,l,null,null,0,1,1,1,
kxp,156,l,null,null,0,0,0,1,
kxp,157,l,null,null,1,1,1,1,
kxp,158,l,null,null,0,0,1,0,
kxp,159,l,null,null,1,0,1,1,
kxp,160,l,null,null,1,0,1,1,
kxp,161,l,null,null,0,0,1,0,
kxp,162,l,null,null,1,0,1,1,
kxp,163,l,null,null,1,1,1,1,
kxp,164,l,null,null,0,0,1,1,
kxp,165,l,null,null,0,0,1,0,
kxp,166,l,null,null,0,0,1,1,
kxp,167,l,null,null,0,0,0,1,
kxp,168,l,null,null,1,1,1,1,
kxp,169,l,null,null,0,0,1,0,
kxp,170,l,null,null,1,1,1,1,
kxp,171,l,null,null,0,0,1,0,
kxp,172,l,null,null,1,1,0,1,
kxp,173,l,null,null,0,0,1,1,
kxp,174,l,null,null,1,1,1,0,
kxp,175,l,null,null,0,0,1,0,
kxp,176,l,null,null,1,1,1,1,
kxp,177,l,null,null,1,1,1,1,
kxp,178,l,null,null,0,0,1,1,
kxp,179,l,null,null,0,1,1,1,
kxp,180,l,null,null,1,1,0,1,
kxp,181,l,null,null,0,1,1,1,
kxp,182,l,null,null,0,0,0,1,
kxp,183,l,null,null,1,1,1,1,
kxp,184,l,null,null,0,1,1,1,
kxp,185,l,null,null,1,1,1,1,
kxp,186,l,null,null,1,1,0,0,
kxp,187,l,null,null,1,0,1,1,
kxp,188,l,null,null,1,1,1,1,
kxp,189,l,null,null,1,1,0,0,
kxp,190,l,null,null,0,0,0,0,
kxp,191,l,null,null,0,1,1,0,
kxp,192,l,null,null,0,0,0,0,
kxp,193,l,null,null,0,1,1,0,
kxp,194,l,null,null,0,1,1,1,
kxp,195,l,null,null,1,0,1,1,
kxp,196,l,null,null,0,0,1,0,
kxp,197,l,null,null,0,1,1,1,
kxp,198,l,null,null,1,1,0,1,
kxp,199,l,null,null,1,0,0,1,
kxp,200,l,null,null,0,0,1,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
kxp,201,l,null,null,1,1,0,1,
kxp,202,l,null,null,1,1,1,1,
kxp,203,l,null,null,0,1,1,1,
kxp,204,l,null,null,0,0,0,1,
kxp,205,l,null,null,0,0,1,0,
kxp,206,l,null,null,1,1,0,1,
kxp,207,l,null,null,0,0,1,0,
kxp,208,l,null,null,0,0,0,1,
kxp,209,l,null,null,0,0,1,1,
kxp,210,l,null,null,0,1,1,1,
kxp,211,l,null,null,0,0,1,0,
kxp,212,l,null,null,1,1,1,1,
kxp,213,l,null,null,1,0,0,1,
kxp,214,l,null,null,1,1,1,1,
kxp,215,l,null,null,1,1,1,0,
kxp,216,l,null,null,0,1,0,1,
kxp,217,l,null,null,0,0,1,0,
kxp,218,l,null,null,1,1,1,1,
kxp,219,l,null,null,0,1,1,1,
kxp,220,l,null,null,1,1,0,1,
kxp,221,l,null,null,1,1,1,1,
kxp,222,l,null,null,0,1,0,1,
kxp,223,l,null,null,0,0,1,1,
kxp,224,l,null,null,1,1,1,1,
kxp,225,l,null,null,1,1,0,0,
kxp,226,l,null,null,1,0,0,1,
kxp,227,l,null,null,0,0,1,0,
kxp,228,l,null,null,0,0,0,1,
kxp,229,l,null,null,0,1,0,1,
kxp,230,l,null,null,0,0,0,1,
kxp,231,l,null,null,1,0,0,1,
kxp,232,l,null,null,0,0,1,0,
kxp,233,l,null,null,0,0,0,1,
kxp,234,l,null,null,1,1,0,1,
kxp,235,l,null,null,1,0,1,1,
kxp,236,l,null,null,1,0,1,1,
kxp,237,l,null,null,1,1,0,1,
kxp,238,l,null,null,1,1,0,1,
kxp,239,l,null,null,1,0,1,0,
kxp,240,l,null,null,0,1,1,1,
kxp,241,l,null,null,0,0,1,0,
kxp,242,l,null,null,1,0,1,0,
kxp,243,l,null,null,1,0,1,1,
kxp,244,l,null,null,0,0,0,0,
kxp,245,l,null,null,0,0,1,1,
kxp,246,l,null,null,1,0,1,1,
kxp,247,l,null,null,0,0,1,1,
kxp,248,l,null,null,0,1,1,1,
kxp,249,l,null,null,1,1,1,0,
kxp,250,l,null,null,1,1,1,0,
kxp,251,l,null,null,0,1,0,0,
kxp,252,l,null,null,0,0,0,0,
kxp,253,l,null,null,1,1,1,1,
kxp,254,l,null,null,0,0,1,1,
kxp,255,l,null,null,1,0,1,1,
kxp,256,l,null,null,0,1,0,1,
kxp,257,l,null,null,1,1,1,0,
kxp,258,l,null,null,1,0,1,1,
kxp,259,l,null,null,0,0,1,0,
kxp,260,l,null,null,1,1,0,1,
kxp,261,l,null,null,0,1,1,1,
kxp,262,l,null,null,0,0,0,0,
kxp,263,l,null,null,1,1,0,1,
kxp,264,l,null,null,0,1,1,1,
kxp,265,l,null,null,0,0,0,1,
kxp,266,l,null,null,1,1,1,1,
kxp,267,l,null,null,0,0,0,0,
kxp,268,l,null,null,0,1,0,1,
kxp,269,l,null,null,1,0,1,1,
kxp,270,l,null,null,1,0,1,1,
kxp,271,l,null,null,0,0,1,0,
kxp,272,l,null,null,0,0,1,0,
kxp,273,l,null,null,1,1,1,1,
kxp,274,l,null,null,0,0,0,1,
kxp,275,l,null,null,1,0,1,0,
kxp,276,l,null,null,0,0,0,0,
kxp,277,l,null,null,1,1,0,1,
kxp,278,l,null,null,0,1,1,1,
kxp,279,l,null,null,0,1,1,0,
kxp,280,l,null,null,0,1,1,1,
kxp,281,l,null,null,0,1,1,1,
kxp,282,l,null,null,1,0,0,1,
kxp,283,l,null,null,1,1,0,1,
kxp,284,l,null,null,0,1,1,1,
kxp,285,l,null,null,0,0,1,1,
kxp,286,l,null,null,1,1,1,1,
kxp,287,l,null,null,0,1,1,1,
kxp,288,l,null,null,0,1,0,1,
kxp,289,l,null,null,1,1,0,1,
kxp,290,l,null,null,1,1,0,0,
kxp,291,l,null,null,0,1,1,0,
kxp,292,l,null,null,0,1,0,1,
kxp,293,l,null,null,1,1,1,1,
kxp,294,l,null,null,1,0,1,0,
kxp,295,l,null,null,1,0,1,1,
kxp,296,l,null,null,0,1,0,0,
kxp,297,l,null,null,0,1,1,0,
kxp,298,l,null,null,0,1,1,1,
kxp,299,l,null,null,1,0,0,1,
kxp,300,l,null,null,1,0,1,0,
brk,brk,brk,brk,brk,brk,brk,brk,brk,
kxp,301,l,null,null,0,1,0,1,
kxp,302,l,null,null,1,0,1,1,
kxp,303,l,null,null,1,0,0,1,
kxp,304,l,null,null,1,0,0,0,
kxp,305,l,null,null,1,0,1,0,
kxp,306,l,null,null,0,0,1,1,
kxp,307,l,null,null,0,0,1,0,
kxp,308,l,null,null,1,0,1,1,
kxp,309,l,null,null,1,1,1,0,
kxp,310,l,null,null,1,1,0,1,
kxp,311,l,null,null,0,0,1,1,
kxp,312,l,null,null,0,0,1,0,
kxp,313,l,null,null,1,0,0,0,
kxp,314,l,null,null,1,0,0,1,
kxp,315,l,null,null,1,0,1,1,
kxp,316,l,null,null,0,0,1,0,
kxp,317,l,null,null,1,0,1,1,
kxp,318,l,null,null,0,0,1,0,
kxp,319,l,null,null,0,0,1,1,
kxp,320,l,null,null,0,1,0,1,
kxp,321,l,null,null,0,0,1,1,
kxp,322,l,null,null,0,0,0,0,
kxp,323,l,null,null,1,1,0,1,
kxp,324,l,null,null,1,1,1,1,
kxp,325,l,null,null,1,0,0,1,
kxp,326,l,null,null,0,1,1,1,
kxp,327,l,null,null,0,0,1,1,
kxp,328,l,null,null,0,1,1,0,
kxp,329,l,null,null,0,1,1,1,
kxp,330,l,null,null,0,1,0,1,
kxp,331,l,null,null,0,0,0,1,
